Frame #,# Obj,X,Y,Z,Doppler,Intensity
130,3,-0.12402,1.2354,-0.44141,-0.356,7
130,3,-0.12598,1.2627,-0.45117,-0.356,9
130,3,-0.17188,1.3086,-0.39258,-0.356,7
131,60,-0.11816,1.1934,-0.38379,0,10
131,60,-0.080078,1.2402,-0.33984,0,26
131,60,-0.041016,1.2832,-0.2998,0,45
131,60,-0.041992,1.3096,-0.31543,0,56
131,60,-0.042969,1.3359,-0.32813,0,52
131,60,0,1.3691,-0.31934,0,37
131,60,0,1.3936,-0.34277,0,19
131,60,0,1.418,-0.36621,0,6
131,60,0.1123,1.1572,-0.2998,0.356,8
131,60,0.15332,1.2002,-0.21973,0.356,14
131,60,0.11816,1.2432,-0.16211,0.356,17
131,60,0.12109,1.2773,-0.11914,0.356,14
131,60,0.20605,1.3018,0.017578,0.356,10
131,60,0.21094,1.2998,0.2832,0.356,7
131,60,0.079102,1.2529,-0.10059,0.71201,5
131,60,0,1.1982,-0.27734,-1.424,7
131,60,0,1.2041,-0.36914,-1.424,20
131,60,0,1.2139,-0.43359,-1.424,34
131,60,0,1.2285,-0.47656,-1.424,43
131,60,0,1.25,-0.50195,-1.424,37
131,60,0,1.2705,-0.53027,-1.424,24
131,60,0,1.2793,-0.58398,-1.424,10
131,60,0.038086,1.2119,-0.20508,-1.068,13
131,60,0.039063,1.2246,-0.29297,-1.068,34
131,60,0.040039,1.2393,-0.35059,-1.068,54
131,60,0,1.2402,-0.44629,-1.068,60
131,60,0,1.248,-0.50781,-1.068,47
131,60,0,1.2451,-0.58691,-1.068,25
131,60,0.087891,1.2852,-0.5625,-1.068,9
131,60,-0.23047,0.96289,-0.73047,-0.71201,11
131,60,-0.19727,1.0625,-0.64648,-0.71201,30
131,60,-0.12109,1.1826,-0.49609,-0.71201,58
131,60,-0.12402,1.2393,-0.42969,-0.71201,82
131,60,-0.083984,1.2949,-0.36328,-0.71201,88
131,60,-0.042969,1.3311,-0.34961,-0.71201,75
131,60,-0.043945,1.3564,-0.36816,-0.71201,50
131,60,0,1.3828,-0.38281,-0.71201,24
131,60,0,1.3682,-0.52246,-0.71201,8
131,60,-0.15332,1.2129,-0.13477,-0.356,11
131,60,-0.079102,1.2275,-0.27148,-0.356,32
131,60,-0.080078,1.2471,-0.31348,-0.356,71
131,60,-0.082031,1.2744,-0.32617,-0.356,114
131,60,-0.083984,1.3008,-0.33887,-0.356,133
131,60,-0.042969,1.333,-0.3418,-0.356,121
131,60,0,1.3613,-0.35254,-0.356,81
131,60,0,1.3896,-0.3584,-0.356,40
131,60,0,1.4063,-0.40723,-0.356,14
131,60,-0.24707,1.0146,-0.80371,0.356,7
131,60,-0.25293,1.2148,-0.52539,0.356,7
131,60,-0.5,0.6416,0.92285,-1.424,4
131,60,-0.50488,0.88379,0.88281,-1.424,20
131,60,-0.57129,1.0078,0.7959,-1.424,6
131,60,-0.38477,0.29004,1.1318,-1.068,10
131,60,-0.43262,0.50586,1.0693,-1.068,21
131,60,-0.44336,0.63672,1.0293,-1.068,34
131,60,-0.45313,0.72754,1.001,-1.068,38
131,60,-0.46289,0.7959,0.9834,-1.068,31
131,60,-0.5166,0.90625,0.89844,-1.068,17
131,60,-0.52734,0.97754,0.8623,-1.068,6
131,60,0.23047,1.0557,0.58691,-0.71201,7
132,50,0,1.1758,-0.24609,0,5
132,50,0,1.2148,-0.19043,0,13
132,50,0,1.2471,-0.17871,0,22
132,50,0,1.2754,-0.18457,0,29
132,50,0,1.3066,-0.1748,0,28
132,50,0,1.3311,-0.20898,0,20
132,50,0,1.3545,-0.24512,0,11
132,50,0.036133,1.165,-0.11621,0.356,7
132,50,0.037109,1.2002,-0.018555,0.356,10
132,50,0,1.2236,0.12598,0.356,8
132,50,0.19727,0.85156,-0.90723,0.356,4
132,50,0.040039,1.2734,-0.19043,0.356,12
132,50,0,1.3145,-0.10254,0.356,16
132,50,0,1.3477,0,0.356,16
132,50,0,1.375,0.063477,0.356,13
132,50,0,1.3838,0.25,0.356,9
132,50,0,1.3896,0.3584,0.356,7
132,50,0,1.4482,0.21582,0.356,7
132,50,0,0.72559,-0.76465,-3.204,7
132,50,0.03418,0.72754,-0.80176,-3.204,9
132,50,0,0.84766,-0.7207,-3.204,9
132,50,0,0.91797,-0.67969,-3.204,7
132,50,0,0.70898,-0.78027,-2.848,10
132,50,0,0.7666,-0.76563,-2.848,13
132,50,0.035156,0.85352,-0.71289,-2.848,14
132,50,0.036133,0.96094,-0.61719,-2.848,11
132,50,0,1.1982,-0.27734,-1.068,8
132,50,0,1.2256,-0.29102,-1.068,12
132,50,-0.040039,1.2686,-0.22559,-1.068,13
132,50,0,1.3115,-0.13477,-1.068,10
132,50,0,1.1582,-0.31836,-0.71201,11
132,50,0,1.1924,-0.30371,-0.71201,28
132,50,0,1.2275,-0.28125,-0.71201,46
132,50,0,1.2607,-0.26758,-0.71201,55
132,50,0,1.291,-0.26465,-0.71201,45
132,50,0,1.3203,-0.2666,-0.71201,28
132,50,0,1.3477,-0.28223,-0.71201,12
132,50,0,1.1738,-0.25195,-0.356,15
132,50,0,1.1934,-0.2998,-0.356,34
132,50,0,1.2217,-0.30469,-0.356,54
132,50,0,1.2539,-0.2959,-0.356,64
132,50,0,1.2842,-0.29492,-0.356,55
132,50,0.041992,1.3125,-0.30078,-0.356,33
132,50,0.042969,1.3379,-0.32324,-0.356,14
132,50,0.30762,1.2891,-0.46973,-0.356,8
132,50,0.3584,1.2549,-0.5957,-0.356,7
132,50,-0.15723,1.2402,0.15234,0.356,3
132,50,0.39551,1.1826,-0.64941,0.356,6
132,50,0.3584,1.3037,-0.48047,0.356,5
132,50,-0.044922,1.4092,0.26953,-0.356,6
133,48,0.15332,1.1924,-0.25879,0,23
133,48,0.15723,1.2178,-0.28125,0,35
133,48,0.12109,1.2471,-0.30176,0,34
133,48,0.12402,1.29,-0.24219,0,22
133,48,0.041992,1.3447,-0.063477,0,18
133,48,0.085938,1.3662,-0.14746,0,25
133,48,0.13184,1.3896,-0.16992,0,23
133,48,0.13477,1.4189,-0.1709,0,15
133,48,0.1123,1.1787,-0.2002,0.356,30
133,48,0.15332,1.2002,-0.22363,0.356,66
133,48,0.11816,1.2324,-0.23242,0.356,92
133,48,0.16113,1.2559,-0.23828,0.356,86
133,48,0.12402,1.293,-0.22461,0.356,53
133,48,0.12598,1.3389,-0.076172,0.356,25
133,48,0.085938,1.374,0.020508,0.356,21
133,48,0.13184,1.3896,-0.16992,0.356,15
133,48,0.1123,1.1738,-0.22656,0.71201,11
133,48,0.15332,1.2051,-0.19336,0.71201,24
133,48,0.11816,1.2373,-0.20215,0.71201,33
133,48,0.12109,1.2676,-0.19531,0.71201,31
133,48,0.12402,1.2988,-0.18555,0.71201,18
133,48,0.041992,1.3457,0.048828,0.71201,7
133,48,0,1.3467,-0.033203,-1.068,22
133,48,0,1.374,-0.088867,-1.068,26
133,48,0,1.3975,-0.15332,-1.068,25
133,48,0,1.4248,-0.16797,-1.068,19
133,48,0,1.4492,-0.20996,-1.068,11
133,48,0.16504,0.83984,-0.2002,-0.71201,9
133,48,0.16992,0.85645,-0.24707,-0.71201,10
133,48,0.17578,0.90332,-0.17578,-0.71201,8
133,48,0.041992,1.333,-0.19141,-0.71201,39
133,48,0.042969,1.3643,-0.17773,-0.71201,58
133,48,0,1.3936,-0.18555,-0.71201,62
133,48,0.044922,1.4258,-0.1543,-0.71201,47
133,48,0.045898,1.4551,-0.16309,-0.71201,26
133,48,0,1.4863,-0.15332,-0.71201,9
133,48,0.19238,0.83594,-0.18848,-0.356,9
133,48,0.22656,0.86035,-0.17969,-0.356,9
133,48,0.11816,1.2188,-0.29688,-0.356,35
133,48,0.12109,1.249,-0.29395,-0.356,32
133,48,0.12402,1.2725,-0.32129,-0.356,19
133,48,0,1.3008,-0.34961,-0.356,25
133,48,0,1.3574,-0.23145,-0.356,46
133,48,0,1.3906,-0.2041,-0.356,53
133,48,0.044922,1.4229,-0.18066,-0.356,42
133,48,0.045898,1.4512,-0.19043,-0.356,22
133,48,0.087891,1.3955,-0.14551,-0.71201,62
133,48,-0.3291,0.39941,1.2119,-0.356,11
134,64,0.12793,0.76855,0.25586,0,4
134,64,0.15918,0.81348,0.18457,0,15
134,64,0.19238,0.83691,0.18457,0,30
134,64,0.19824,0.86914,0.16992,0,40
134,64,0.17578,0.90137,0.18848,0,37
134,64,0.12109,0.93457,0.21484,0,26
134,64,0.0625,0.98047,0.16016,0,15
134,64,0.039063,1.2295,-0.26855,0,21
134,64,0.12109,1.2598,-0.24316,0,28
134,64,0.082031,1.2959,-0.22363,0,27
134,64,0.041992,1.333,-0.18945,0,20
134,64,0,1.375,-0.063477,0,10
134,64,0.39551,1.2998,-0.36133,0,6
134,64,0.16992,0.86328,0.22363,0.356,8
134,64,0.20508,0.8877,0.21777,0.356,10
134,64,0.18164,0.90918,0.27344,0.356,8
134,64,0,1.3096,-0.15234,0.356,22
134,64,0,1.3428,-0.1084,0.356,28
134,64,-0.042969,1.375,0.044922,0.356,24
134,64,0.39551,1.2754,-0.43945,0.356,20
134,64,0.40332,1.3379,-0.32617,0.356,16
134,64,0.36621,1.3789,-0.3291,0.356,9
134,64,0.079102,1.2227,-0.29297,0.71201,16
134,64,0.080078,1.2666,-0.22559,0.71201,22
134,64,0,1.3037,-0.19434,0.71201,25
134,64,0,1.3389,-0.14941,0.71201,24
134,64,0,1.375,-0.056641,0.71201,17
134,64,0.39551,1.3369,-0.18457,0.71201,12
134,64,0.079102,1.2451,-0.17285,1.068,11
134,64,0.080078,1.2764,-0.15723,1.068,13
134,64,0.041016,1.3135,-0.10352,1.068,11
134,64,0.16992,0.87793,0.1543,-1.068,6
134,64,0.17578,0.91211,0.12695,-1.068,9
134,64,0.21191,0.93652,0.11426,-1.068,10
134,64,0.21777,0.97168,0.029297,-1.068,8
134,64,0.18555,0.82031,0.11719,-0.71201,12
134,64,0.19238,0.8457,0.14063,-0.71201,23
134,64,0.19824,0.87402,0.14551,-0.71201,30
134,64,0.23438,0.89648,0.14063,-0.71201,27
134,64,0.30176,0.91309,0.097656,-0.71201,24
134,64,0.28027,0.93848,0.18164,-0.71201,18
134,64,0.077148,1.2002,-0.25977,-0.71201,13
134,64,0.11816,1.2256,-0.2627,-0.71201,21
134,64,0.080078,1.2676,-0.2168,-0.71201,23
134,64,0.12402,1.3076,-0.10645,-0.71201,20
134,64,0.12598,1.3389,0.082031,-0.71201,13
134,64,0.15332,0.7832,0.18652,-0.356,8
134,64,0.18555,0.8125,0.16309,-0.356,28
134,64,0.19238,0.8418,0.16113,-0.356,57
134,64,0.19824,0.87207,0.15723,-0.356,74
134,64,0.17578,0.90332,0.17871,-0.356,67
134,64,0.09082,0.92969,0.24805,-0.356,44
134,64,0.0625,0.97656,0.18262,-0.356,23
134,64,0.077148,1.1963,-0.27734,-0.356,37
134,64,0.11816,1.2305,-0.24121,-0.356,57
134,64,0.12109,1.2676,-0.20117,-0.356,61
134,64,0.16504,1.3018,-0.12207,-0.356,50
134,64,0.16797,1.3369,0.0058594,-0.356,32
134,64,0.085938,1.3457,0.27539,-0.356,14
134,64,0,1.29,0.55859,-0.356,8
134,64,0.40332,1.2617,-0.55273,-0.356,7
134,64,0.4209,0,-1.3057,0.356,17
134,64,0.43066,1.0889,-0.72461,0.356,21
134,64,-0.087891,1.3037,0.51758,0.356,14
135,64,-0.087891,0.91211,0.19727,0,7
135,64,-0.030273,0.95215,0.16406,0,9
135,64,0,0.97363,0.20996,0,6
135,64,0.10938,1.1484,-0.20605,0,17
135,64,0.1123,1.1758,-0.21875,0,30
135,64,0.15332,1.1963,-0.24121,0,35
135,64,-0.041992,1.292,0.37891,0,16
135,64,0.43066,1.1914,-0.53906,0,26
135,64,0.39551,1.2314,-0.55078,0,33
135,64,0.40332,1.2686,-0.53711,0,30
135,64,0.41211,1.293,-0.55078,0,20
135,64,0.37305,1.3457,-0.53027,0,9
135,64,0,0.83496,0.27441,0.356,10
135,64,0,0.86426,0.27832,0.356,21
135,64,-0.029297,0.90234,0.25195,0.356,30
135,64,-0.030273,0.92285,0.28516,0.356,28
135,64,0,0.94238,0.32227,0.356,16
135,64,0.15039,1.1816,-0.14941,0.356,88
135,64,0.15332,1.2168,-0.094727,0.356,119
135,64,0.15723,1.25,-0.0019531,0.356,108
135,64,0.20117,1.2334,0.31543,0.356,65
135,64,-0.20605,1.293,-0.14941,0.356,39
135,64,-0.12598,1.3057,0.30664,0.356,36
135,64,0.38672,1.2119,-0.52637,0.356,60
135,64,0.39551,1.2471,-0.51367,0.356,73
135,64,0.40332,1.2803,-0.50684,0.356,65
135,64,0.41211,1.3135,-0.49902,0.356,42
135,64,0.41992,1.3262,-0.54395,0.356,19
135,64,-0.052734,0.81543,0.23145,0.71201,7
135,64,-0.054688,0.83984,0.25195,0.71201,25
135,64,-0.056641,0.86816,0.25977,0.71201,52
135,64,-0.058594,0.89063,0.28516,0.71201,70
135,64,-0.060547,0.91699,0.29785,0.71201,61
135,64,-0.0625,0.93652,0.33301,0.71201,33
135,64,0.15723,1.2314,0.21289,0.71201,56
135,64,-0.32227,0.58203,-1.1035,0.71201,46
135,64,-0.3291,0.73047,-1.0469,0.71201,38
135,64,-0.16797,1.3291,0.14258,0.71201,28
135,64,0.38672,1.1543,-0.6416,0.71201,26
135,64,0.39551,1.2344,-0.5459,0.71201,32
135,64,0.40332,1.2705,-0.53223,0.71201,29
135,64,0.36621,1.3301,-0.49121,0.71201,19
135,64,0.32715,1.4014,-0.40234,0.71201,9
135,64,-0.080078,0.79688,0.28418,1.068,8
135,64,-0.082031,0.8291,0.27832,1.068,29
135,64,-0.084961,0.85352,0.29785,1.068,61
135,64,-0.087891,0.88281,0.30371,1.068,82
135,64,-0.060547,0.91113,0.31641,1.068,76
135,64,-0.09375,0.9375,0.32324,1.068,47
135,64,-0.12793,0.94336,0.38086,1.068,16
135,64,-0.10938,0.81738,0.30371,1.424,18
