Frame #,# Obj,X,Y,Z,Doppler,Intensity
137,2,-0.087891,1.3877,-0.20996,0.356,6
137,2,0,1.4297,-0.12207,0.356,5
139,2,-0.087891,1.3955,-0.14941,-0.356,6
139,2,-0.13477,1.4277,-0.057617,-0.356,5
140,27,-0.20508,0.79395,0,0,6
140,27,-0.18555,0.82813,-0.041016,0,14
140,27,-0.19238,0.85645,-0.049805,0,20
140,27,-0.19824,0.88379,-0.058594,0,18
140,27,-0.23438,0.90723,0.012695,0,10
140,27,-0.15137,0.90527,-0.30176,0,5
140,27,-0.18652,0.93945,-0.27148,0,6
140,27,-0.15332,0.80566,-0.018555,0.356,15
140,27,-0.15918,0.83398,-0.0078125,0.356,34
140,27,-0.19238,0.85742,-0.0078125,0.356,46
140,27,-0.19824,0.88574,0.013672,0.356,40
140,27,-0.26367,0.89648,0.072266,0.356,20
140,27,-0.09082,0.92383,-0.26953,0.356,20
140,27,-0.15527,0.96094,-0.20801,0.356,21
140,27,-0.16016,0.98828,-0.21973,0.356,13
140,27,-0.1377,1.4434,-0.20801,0.356,7
140,27,-0.20508,0.79297,-0.037109,0.71201,5
140,27,-0.21191,0.82227,-0.0087891,0.71201,12
140,27,-0.19238,0.85742,0.023438,0.71201,17
140,27,-0.22656,0.87891,0.0068359,0.71201,15
140,27,-0.26367,0.89453,0.088867,0.71201,8
140,27,-0.15918,0.83398,-0.019531,-0.356,9
140,27,-0.21973,0.84863,-0.061523,-0.356,10
140,27,-0.25488,0.87109,0.018555,-0.356,8
140,27,-0.11719,0.86914,-0.33008,-0.356,7
140,27,-0.12109,0.92578,-0.25,-0.356,11
140,27,-0.12402,0.94922,-0.27246,-0.356,11
141,32,-0.15918,0.83301,-0.040039,0,6
141,32,-0.16504,0.8623,-0.032227,0,15
141,32,-0.16992,0.89063,-0.039063,0,28
141,32,-0.17578,0.91895,-0.056641,0,38
141,32,-0.21191,0.94141,-0.063477,0,39
141,32,-0.21777,0.96582,-0.10938,0,35
141,32,-0.19238,0.98535,-0.20801,0,28
141,32,-0.19727,0.99219,-0.29785,0,22
141,32,-0.20313,1.0049,-0.35254,0,16
141,32,-0.13477,1.3672,-0.41602,0,8
141,32,-0.18262,1.4102,-0.35059,0,7
141,32,-0.13281,0.83887,-0.015625,0.356,12
141,32,-0.1377,0.86816,-0.010742,0.356,30
141,32,-0.16992,0.8916,-0.011719,0.356,54
141,32,-0.17578,0.91992,-0.027344,0.356,73
141,32,-0.21191,0.94238,-0.037109,0.356,77
141,32,-0.21777,0.96875,-0.079102,0.356,67
141,32,-0.19238,0.99219,-0.16992,0.356,55
141,32,-0.19727,1.0029,-0.25781,0.356,45
141,32,-0.17969,1.3877,-0.32031,0.356,22
141,32,-0.18262,1.4121,-0.34277,0.356,21
141,32,-0.2334,1.4287,-0.36914,0.356,12
141,32,-0.15918,0.83398,-0.019531,0.71201,7
141,32,-0.1377,0.86719,0.021484,0.71201,18
141,32,-0.16992,0.8916,0.0019531,0.71201,30
141,32,-0.17578,0.9209,0.0019531,0.71201,39
141,32,-0.21191,0.94336,0.0048828,0.71201,40
141,32,-0.21777,0.9707,-0.048828,0.71201,33
141,32,-0.22461,0.99414,-0.11035,0.71201,25
141,32,-0.23047,1.0137,-0.17578,0.71201,19
141,32,-0.22461,1.3398,-0.46387,-0.356,10
141,32,-0.22852,1.3945,-0.38574,-0.356,8
142,47,-0.17578,0.90918,-0.14355,0,13
142,47,-0.18164,0.92871,-0.19531,0,27
142,47,-0.18652,0.95605,-0.20508,0,39
142,47,-0.19238,0.98633,-0.20215,0,37
142,47,-0.16504,1.0146,-0.23438,0,24
142,47,-0.16895,1.0303,-0.29004,0,10
142,47,-0.22461,1.3652,-0.38184,0,10
142,47,-0.18262,1.4131,-0.33887,0,13
142,47,-0.18652,1.4531,-0.28906,0,13
142,47,-0.19043,1.4678,-0.35742,0,9
142,47,-0.19824,0.88574,0.027344,0.356,15
142,47,-0.17578,0.91992,-0.029297,0.356,35
142,47,-0.18164,0.9375,-0.14941,0.356,63
142,47,-0.18652,0.95703,-0.20313,0.356,87
142,47,-0.19238,0.98145,-0.22461,0.356,84
142,47,-0.19727,1.0068,-0.24512,0.356,55
142,47,-0.20313,1.0313,-0.26172,0.356,19
142,47,-0.17969,1.3848,-0.33301,0.356,31
142,47,-0.18262,1.4082,-0.3584,0.356,41
142,47,-0.13965,1.4414,-0.36523,0.356,39
142,47,-0.14258,1.4648,-0.39258,0.356,27
142,47,-0.19238,0.84668,0.13281,0.71201,7
142,47,-0.1416,0.89551,0.054688,0.71201,23
142,47,-0.17578,0.91992,0.03125,0.71201,45
142,47,-0.21191,0.94238,-0.023438,0.71201,65
142,47,-0.21777,0.9541,-0.18262,0.71201,78
142,47,-0.22461,0.96484,-0.26563,0.71201,73
142,47,-0.23047,0.9873,-0.29004,0.71201,48
142,47,-0.1377,1.4365,-0.25,0.71201,14
142,47,-0.18652,1.4658,-0.2207,0.71201,13
142,47,-0.16992,0.88574,0.10059,1.068,11
142,47,-0.17578,0.91602,0.088867,1.068,20
142,47,-0.21191,0.93555,0.11914,1.068,24
142,47,-0.24902,0.94238,0.2041,1.068,21
142,47,-0.28809,0.7666,-0.61621,1.068,15
142,47,-0.033203,1.0518,-0.072266,1.068,10
142,47,-0.24121,0.9209,-0.16602,-0.356,6
142,47,-0.18652,0.94238,-0.26172,-0.356,9
142,47,-0.19238,0.97949,-0.2334,-0.356,9
142,47,-0.19727,1.0078,-0.24023,-0.356,6
142,47,0,1.4043,-0.055664,-0.356,13
142,47,0,1.4209,-0.19922,-0.356,17
142,47,-0.045898,1.4297,-0.31152,-0.356,20
142,47,-0.09375,1.4229,-0.44336,-0.356,17
142,47,0,1.4648,-0.41797,-0.356,12
142,47,0.032227,1.0244,0.027344,1.068,9
142,47,-0.3291,0.78125,-0.62695,1.068,9
143,49,-0.16016,1.0039,-0.13574,0,10
143,49,-0.13184,1.0195,-0.23438,0,20
143,49,-0.10156,1.0527,-0.23633,0,28
143,49,-0.13867,1.0703,-0.27148,0,28
143,49,-0.10742,1.0986,-0.29395,0,21
143,49,-0.14648,1.1182,-0.31738,0,10
143,49,-0.24902,0.95898,-0.10156,0.356,7
143,49,-0.22461,0.99121,-0.13574,0.356,17
143,49,-0.19727,1.0186,-0.18945,0.356,31
143,49,-0.16895,1.0439,-0.23438,0.356,45
143,49,-0.17383,1.0645,-0.27441,0.356,51
143,49,-0.17871,1.085,-0.31055,0.356,46
143,49,-0.18262,1.1113,-0.32227,0.356,31
143,49,-0.13477,1.415,-0.19531,0.356,28
143,49,-0.18262,1.415,-0.3291,0.356,27
143,49,-0.24121,0.93555,0.033203,0.71201,8
143,49,-0.18652,0.97754,-0.035156,0.71201,27
143,49,-0.19238,0.99902,-0.12402,0.71201,66
143,49,-0.16504,1.0283,-0.16504,0.71201,133
143,49,-0.13574,1.0596,-0.18457,0.71201,198
143,49,-0.17383,1.0762,-0.22559,0.71201,214
143,49,-0.14258,1.1064,-0.24316,0.71201,173
143,49,-0.18262,1.1221,-0.2832,0.71201,101
143,49,-0.27148,0.91895,0.125,1.068,6
143,49,-0.21777,0.97168,-0.0048828,1.068,20
143,49,-0.16016,1.0098,-0.070313,1.068,58
143,49,-0.13184,1.04,-0.1123,1.068,124
143,49,-0.13574,1.0654,-0.14648,1.068,185
143,49,-0.13867,1.0908,-0.16992,1.068,196
143,49,-0.14258,1.1162,-0.19629,1.068,152
143,49,-0.18262,1.1328,-0.2373,1.068,82
143,49,-0.1875,1.1553,-0.26953,1.068,32
143,49,-0.16016,1.0117,-0.036133,1.424,12
143,49,-0.16504,1.0371,-0.09668,1.424,28
143,49,-0.13574,1.0713,-0.09668,1.424,42
143,49,-0.13867,1.0986,-0.11133,1.424,43
143,49,-0.10742,1.1289,-0.13867,1.424,31
143,49,-0.14648,1.1475,-0.18848,1.424,15
143,49,0,1.377,0,-0.71201,5
143,49,0,1.4043,-0.072266,-0.71201,8
143,49,0,1.4268,-0.15332,-0.71201,8
143,49,0,1.459,-0.12402,-0.71201,6
143,49,-0.16504,1.0137,-0.24023,-0.356,7
143,49,-0.10156,1.0498,-0.25,-0.356,11
143,49,-0.13867,1.0732,-0.26172,-0.356,11
143,49,-0.14258,1.0771,-0.35254,-0.356,8
143,49,-0.043945,1.4053,-0.030273,-0.356,30
143,49,-0.044922,1.4297,-0.11328,-0.356,30
143,49,-0.1377,1.4287,-0.29199,-0.356,22
144,44,-0.17871,1.1123,-0.18848,0,7
144,44,-0.18262,1.1045,-0.34375,0,11
144,44,-0.1875,1.123,-0.38184,0,12
144,44,-0.15332,1.1768,-0.32227,0,9
144,44,-0.30469,1.0332,-0.11621,0.356,5
144,44,-0.20898,1.0674,-0.23828,0.356,13
144,44,-0.21387,1.0889,-0.26953,0.356,27
144,44,-0.21973,1.1113,-0.2998,0.356,41
144,44,-0.22559,1.1328,-0.32715,0.356,42
144,44,-0.23047,1.1611,-0.33496,0.356,33
144,44,-0.23633,1.1758,-0.38379,0.356,19
144,44,0,1.4053,-0.019531,0.356,21
144,44,0,1.4307,-0.11035,0.356,20
144,44,-0.26367,1.0186,0.073242,0.71201,5
144,44,-0.30469,1.04,-0.012695,0.71201,9
144,44,-0.20898,1.0508,-0.30273,0.71201,16
144,44,-0.17871,1.0635,-0.37598,0.71201,49
144,44,-0.18262,1.1045,-0.34668,0.71201,83
144,44,-0.1875,1.1436,-0.31641,0.71201,89
144,44,-0.19238,1.1738,-0.3125,0.71201,64
144,44,-0.27539,1.1943,-0.28906,0.71201,33
