Frame #,# Obj,X,Y,Z,Doppler,Intensity
861,5,0,1.7441,0.21289,0.356,6
861,5,0.055664,1.7715,0.22363,0.356,6
861,5,0,1.7188,-0.17676,-0.356,7
861,5,0.054688,1.7549,-0.070313,-0.356,8
861,5,0.055664,1.7852,0.052734,-0.356,7
862,29,0,1.5977,-0.4834,0,7
862,29,0,1.6943,-0.125,0,11
862,29,0,1.7275,0.036133,0,14
862,29,0,1.751,0.15039,0,14
862,29,0,1.7725,0.22559,0,10
862,29,0.15332,1.5898,0.37207,0.356,5
862,29,0.15625,1.6104,0.41113,0.356,8
862,29,0.15918,1.498,0.78516,0.356,10
862,29,0.16211,1.1396,1.2891,0.356,8
862,29,0.3291,0.36719,-1.6865,0.356,5
862,29,0.055664,1.7715,-0.22266,0.356,5
862,29,0.16992,1.8076,-0.049805,0.356,7
862,29,0,1.1982,-1.1201,-0.71201,10
862,29,0.051758,1.5,-0.73047,-0.71201,16
862,29,0,1.6133,-0.53125,-0.71201,19
862,29,0,1.6992,-0.31348,-0.71201,20
862,29,0.054688,1.7441,-0.20508,-0.71201,18
862,29,0,1.7813,-0.13574,-0.71201,12
862,29,0.056641,1.8145,-0.040039,-0.71201,6
862,29,0.050781,1.5508,-0.53027,-0.356,12
862,29,0.051758,1.5449,-0.63086,-0.356,20
862,29,0,1.6475,-0.41602,-0.356,26
862,29,0,1.7168,-0.19336,-0.356,31
862,29,0,1.7559,-0.069336,-0.356,31
862,29,0,1.7861,0.026367,-0.356,24
862,29,0.056641,1.8135,0.063477,-0.356,15
862,29,1.0986,0,1.7578,0.356,5
862,29,1.0605,0,-1.5635,0.356,4
862,29,1.248,0,-1.5889,0.356,4
863,24,0.050781,1.6201,-0.25,0.356,7
863,24,0.10449,1.6465,-0.25293,0.356,11
863,24,0.10645,1.6074,-0.54004,0.356,11
863,24,0.1084,1.5498,-0.75684,0.356,7
863,24,0.33496,1.7441,0.19629,0.356,5
863,24,0,1.4014,-0.79395,-1.424,5
863,24,0.050781,1.5293,-0.58984,-1.424,5
863,24,0,1.4629,-0.67383,-1.068,6
863,24,0.052734,1.6982,-0.011719,-0.71201,10
863,24,0.1084,1.7207,0.11816,-0.71201,10
863,24,0.10254,1.5664,-0.47559,-0.356,8
863,24,0.10449,1.6533,-0.20313,-0.356,13
863,24,0.10645,1.6934,-0.083008,-0.356,15
863,24,0.1084,1.7158,-0.16992,-0.356,12
863,24,0.054688,1.7256,-0.3291,-0.356,7
863,24,-0.46094,0.33594,1.5381,0.356,4
863,24,-0.53125,0.36816,-1.5713,0.356,6
863,24,-1.458,0.90234,-0.21582,0.356,4
863,24,1.1162,0,1.7861,0.356,3
863,24,1.4092,0.77344,-0.10156,-1.424,4
863,24,1.4355,0.54395,0.57813,-1.424,3
863,24,1.5605,0,0.70508,-1.068,4
863,24,-0.59375,0.25684,-1.6025,-0.356,7
863,24,-0.71387,0.46094,-1.5381,-0.356,4
864,18,0.15332,1.6279,0.12305,0.356,13
864,18,0.20898,1.6426,0.21387,0.356,23
864,18,0.15918,1.6699,0.2666,0.356,28
864,18,0.21582,1.6855,0.31152,0.356,25
864,18,0.21973,1.6982,0.39453,0.356,15
864,18,0.22363,1.7158,0.44629,0.356,7
864,18,0.16992,1.6777,0.67285,0.356,7
864,18,0.15625,1.6582,0.11035,0.71201,8
864,18,0.21191,1.6572,0.30469,0.71201,10
864,18,0.16211,1.7178,0.088867,0.71201,9
864,18,0.20508,1.624,0.097656,-0.356,10
864,18,0.15625,1.6611,0.049805,-0.356,16
864,18,0.21191,1.6807,0.12891,-0.356,21
864,18,0.16211,1.7051,0.22852,-0.356,18
864,18,0.16504,1.7305,0.25977,-0.356,10
864,18,-1.6748,0.34277,0.51855,0.356,4
864,18,-0.56738,1.5313,-0.79492,0.356,4
864,18,-1.5928,0.71777,0.19238,-0.356,6
865,63,0.4668,1.3975,0.24609,0,7
865,63,0.42871,1.4482,0.19531,0,7
865,63,0.43652,1.4805,0.16406,0,6
865,63,0.10254,1.6367,0.037109,0,9
865,63,0.10449,1.665,0.055664,0,14
865,63,0.15918,1.6865,0.125,0,17
865,63,0.1084,1.7246,0.039063,0,15
865,63,0.16504,1.7441,0.13867,0,11
865,63,0.16797,1.7744,0.11816,0,6
865,63,0.54883,1.2959,0.40527,0.356,9
865,63,0.56055,1.3242,0.40527,0.356,15
865,63,0.57129,1.3467,0.4248,0.356,17
865,63,0.58203,1.3945,0.35449,0.356,15
865,63,0.54395,1.4609,0.26855,0.356,8
865,63,0.31348,1.3857,0.2041,0.71201,5
865,63,0.45801,1.334,0.39551,0.71201,13
865,63,0.4668,1.3643,0.39063,0.71201,20
865,63,0.47559,1.3867,0.41211,0.71201,23
865,63,0.5332,1.4023,0.39648,0.71201,19
865,63,0.49414,1.459,0.35938,0.71201,11
865,63,0.41992,1.3555,0.4668,1.068,7
865,63,0.42871,1.3818,0.47559,1.068,8
865,63,0.48535,1.3965,0.47363,1.068,7
865,63,0.22266,2.3447,-0.28418,-1.424,8
865,63,0.2998,2.3818,0.079102,-1.424,9
865,63,0.36621,2.3057,-0.19922,-1.068,9
865,63,0.37109,2.3428,0.033203,-1.068,13
865,63,0.375,2.3633,0.20898,-1.068,14
865,63,0.37988,2.3887,0.24805,-1.068,11
865,63,0.10449,1.666,-0.035156,-0.71201,11
865,63,0.15918,1.6895,0.079102,-0.71201,13
865,63,0.16211,1.7197,0.060547,-0.71201,10
865,63,0.22852,1.4355,0.17871,-0.356,9
865,63,0.2334,1.4639,0.1875,-0.356,14
865,63,0.28516,1.4814,0.20508,-0.356,16
865,63,0.24219,1.5195,0.20508,-0.356,12
