Frame #,# Obj,X,Y,Z,Doppler,Intensity
184,5,-0.25586,1.5625,-0.42676,0.356,7
184,5,-0.36523,1.5674,-0.44336,0.356,6
184,5,-0.30176,1.5459,-0.33789,-0.356,8
184,5,-0.25586,1.5518,-0.46484,-0.356,11
184,5,-0.20898,1.5918,-0.45801,-0.356,10
185,28,-0.33984,1.5146,0.017578,0,8
185,28,-0.3457,1.5371,-0.13477,0,13
185,28,-0.35254,1.5654,-0.13672,0,13
185,28,0.050781,1.623,-0.2334,0,8
185,28,-0.10449,1.6348,-0.32129,0,13
185,28,-0.15918,1.6689,-0.27148,0,14
185,28,-0.16211,1.7031,-0.24609,0,10
185,28,0,1.6689,-0.03125,0.356,6
185,28,-0.052734,1.6963,-0.083984,0.356,13
185,28,0,1.7275,-0.02832,0.356,17
185,28,0,1.7568,0.033203,0.356,16
185,28,0,1.7686,-0.25195,0.356,12
185,28,0,1.7695,-0.40918,0.356,9
185,28,0,1.7783,-0.49414,0.356,8
185,28,-0.29102,1.5039,-0.24902,-0.71201,7
185,28,-0.29688,1.5391,-0.20996,-0.71201,11
185,28,-0.40234,1.5508,-0.16504,-0.71201,10
185,28,-0.10449,1.6123,-0.4209,-0.71201,9
185,28,-0.10645,1.6367,-0.44336,-0.71201,9
185,28,-0.33301,1.4863,-0.023438,-0.356,5
185,28,-0.24219,1.5293,-0.10742,-0.356,17
185,28,-0.29688,1.5498,-0.1084,-0.356,27
185,28,-0.35254,1.5684,-0.10059,-0.356,26
185,28,-0.5127,1.543,-0.21777,-0.356,16
185,28,-0.10449,1.6182,-0.39648,-0.356,20
185,28,-0.21191,1.6104,-0.49707,-0.356,19
185,28,-0.56348,1.5352,-0.13086,0,8
185,28,0,1.5654,0.48926,-0.356,13
186,20,-0.28516,1.4922,-0.1123,0,9
186,20,-0.29102,1.5186,-0.13965,0,15
186,20,-0.29688,1.5479,-0.1377,0,16
186,20,-0.30176,1.5762,-0.1377,0,11
186,20,0,1.6055,-0.45801,0.356,9
186,20,0,1.6445,-0.4248,0.356,11
186,20,-0.1084,1.6895,-0.34766,0.356,11
186,20,-0.29102,1.5029,-0.25586,-1.068,8
186,20,-0.29688,1.5176,-0.33203,-1.068,9
186,20,-0.28027,1.458,-0.16016,-0.71201,8
186,20,-0.23828,1.4883,-0.22168,-0.71201,22
186,20,-0.24219,1.5195,-0.20313,-0.71201,35
186,20,-0.29688,1.5381,-0.21973,-0.71201,36
186,20,-0.25195,1.5713,-0.24707,-0.71201,25
186,20,-0.28027,1.4629,-0.1123,-0.356,9
186,20,-0.23828,1.4961,-0.15332,-0.356,23
186,20,-0.24219,1.5254,-0.15723,-0.356,37
186,20,-0.24707,1.5547,-0.15137,-0.356,40
186,20,-0.30176,1.5732,-0.1709,-0.356,27
186,20,-0.3584,1.5801,-0.25684,-0.356,10
187,36,-0.27441,1.4375,0.058594,0,5
187,36,-0.28027,1.4629,0.1084,0,6
187,36,0,1.7197,-0.16895,0,14
187,36,-0.054688,1.752,-0.12695,0,15
187,36,0,1.7803,-0.14941,0,11
187,36,-0.051758,1.6572,-0.19922,0.356,22
187,36,-0.052734,1.6914,-0.1543,0.356,45
187,36,-0.053711,1.7236,-0.11621,0.356,65
187,36,-0.054688,1.7549,-0.076172,0.356,66
187,36,0,1.7852,-0.061523,0.356,45
187,36,0,1.8154,-0.020508,0.356,22
187,36,0,1.6963,-0.088867,0.71201,13
187,36,0,1.7266,-0.05957,0.71201,19
187,36,-0.10938,1.7539,0.010742,0.71201,19
187,36,0,1.7861,0.014648,0.71201,13
187,36,0,1.918,-0.41309,0.71201,7
187,36,-0.22461,1.4102,-0.14063,-1.068,14
187,36,-0.22852,1.4414,-0.11621,-1.068,27
187,36,-0.2334,1.4707,-0.11719,-1.068,34
187,36,-0.28516,1.4951,-0.058594,-1.068,26
187,36,-0.3877,1.5029,0.035156,-1.068,14
187,36,-0.22461,1.416,-0.0625,-0.71201,17
187,36,-0.22852,1.4434,-0.099609,-0.71201,33
187,36,-0.2334,1.4717,-0.10645,-0.71201,42
187,36,-0.28516,1.4902,-0.13672,-0.71201,36
187,36,-0.33984,1.4922,-0.2627,-0.71201,22
187,36,-0.27441,1.4365,-0.069336,-0.356,8
187,36,-0.28027,1.46,-0.14355,-0.356,12
187,36,-0.28516,1.4658,-0.2998,-0.356,12
187,36,-0.33984,1.4746,-0.3457,-0.356,9
187,36,-0.052734,1.6719,-0.29395,-0.356,30
187,36,-0.053711,1.71,-0.24121,-0.356,41
187,36,0,1.7412,-0.23438,-0.356,39
187,36,0,1.7803,-0.15137,-0.356,26
187,36,-0.056641,1.8115,-0.10547,-0.356,14
187,36,0.14551,1.4453,-0.54688,-1.068,8
188,32,-0.35156,1.3604,0.055664,0,4
188,32,-0.26953,1.4072,-0.079102,0,6
188,32,-0.27441,1.4375,-0.043945,0,7
188,32,-0.18652,1.4795,-0.078125,0,7
188,32,0,1.6504,-0.40332,0.356,17
188,32,0,1.6973,-0.32617,0.356,20
188,32,0,1.7568,-0.035156,0.356,23
188,32,0,1.7861,0.019531,0.356,27
188,32,0,1.8135,-0.092773,0.356,24
188,32,0,1.8418,-0.10742,0.356,15
188,32,0,1.7861,0,0.71201,8
188,32,-0.17188,1.3418,-0.25391,-1.068,14
188,32,-0.17578,1.377,-0.21973,-1.068,36
188,32,-0.17969,1.4023,-0.24609,-1.068,61
188,32,-0.18262,1.4297,-0.26074,-1.068,75
188,32,-0.18652,1.4561,-0.27832,-1.068,66
188,32,-0.19043,1.4824,-0.29492,-1.068,40
188,32,-0.19434,1.5098,-0.30566,-1.068,17
188,32,-0.17188,1.3535,-0.18457,-0.71201,22
188,32,-0.17578,1.3799,-0.2041,-0.71201,60
188,32,-0.17969,1.4072,-0.21484,-0.71201,103
188,32,-0.18262,1.4336,-0.23535,-0.71201,126
188,32,-0.18652,1.4609,-0.24805,-0.71201,109
188,32,-0.19043,1.4873,-0.26758,-0.71201,66
188,32,-0.14551,1.5176,-0.29102,-0.71201,29
188,32,-0.17188,1.3525,-0.18652,-0.356,9
188,32,-0.17578,1.3848,-0.16504,-0.356,24
188,32,-0.17969,1.4121,-0.18457,-0.356,44
188,32,-0.18262,1.4404,-0.19336,-0.356,54
188,32,-0.18652,1.4658,-0.21973,-0.356,47
188,32,-0.19043,1.4873,-0.26465,-0.356,28
188,32,-0.09375,1.4863,-0.11914,0,7
189,33,-0.12402,1.3115,-0.052734,0,7
