Frame #,# Obj,X,Y,Z,Doppler,Intensity
1370,2,-1.8535,1.0576,-0.52148,-0.356,7
1370,2,-2.0176,0.8877,-0.3125,-0.356,6
1440,2,-1.9219,0.97559,-0.42383,0.356,5
1440,2,-1.8086,1.1475,-0.60645,0.356,5
1447,2,-1.9219,0.94141,-0.49512,0.356,6
1447,2,-1.8779,1.0566,-0.55762,0.356,6
120,8,0.056641,1.792,-0.28809,0.356,8
120,8,0.11523,1.7783,-0.47949,0.356,12
120,8,0.11719,1.8135,-0.45898,0.356,12
120,8,0.05957,1.8086,-0.5918,0.356,8
120,8,0.11328,1.7646,-0.41309,-0.356,7
120,8,0.057617,1.7695,-0.52148,-0.356,10
120,8,0.11719,1.7471,-0.66797,-0.356,10
120,8,0.11914,1.7383,-0.7666,-0.356,7
121,9,0,1.6885,-0.19043,0.356,6
121,9,0,1.7236,-0.125,0.356,10
121,9,0,1.752,-0.13672,0.356,9
121,9,0.11523,1.749,-0.57617,0.356,7
121,9,0.11719,1.7168,-0.74414,0.356,8
121,9,0,1.6797,-0.25098,-0.356,6
121,9,0,1.6934,-0.34277,-0.356,8
121,9,0,1.748,-0.17969,-0.356,8
121,9,0.17285,1.7441,-0.57617,-0.356,7
122,14,-0.22363,1.4814,-0.97363,0,5
122,14,-0.22656,1.5566,-0.9082,0,6
122,14,-0.3457,1.5352,-0.96387,0,5
122,14,0,1.7236,-0.12695,0.356,8
122,14,0.054688,1.748,-0.17383,0.356,7
122,14,-0.28418,1.6953,-0.58594,0.356,9
122,14,-0.28809,1.7285,-0.57617,0.356,10
122,14,0,1.6953,-0.10645,-0.356,5
122,14,0,1.7178,-0.18848,-0.356,7
122,14,-0.33496,1.5098,-0.89453,-0.356,11
122,14,-0.22656,1.6025,-0.82422,-0.356,19
122,14,-0.23047,1.6338,-0.82617,-0.356,20
122,14,-0.29297,1.6201,-0.89551,-0.356,14
122,14,-0.29785,1.5957,-0.99512,-0.356,7
123,29,-0.22363,1.6572,-0.62988,0,8
123,29,-0.28418,1.6426,-0.7207,0,10
123,29,-0.28809,1.6484,-0.77734,0,11
123,29,-0.29297,1.7256,-0.6709,0,9
123,29,-0.29785,1.7275,-0.74316,0,6
123,29,0,1.6885,-0.18359,0.356,10
123,29,0,1.6963,-0.3291,0.356,15
123,29,0,1.7363,-0.27344,0.356,15
123,29,0,1.7715,-0.23145,0.356,14
123,29,0,1.8096,-0.15234,0.356,15
123,29,0,1.8369,-0.17578,0.356,14
123,29,-0.23438,1.8174,-0.39453,0.356,11
123,29,-0.29785,1.8105,-0.50879,0.356,7
123,29,-0.28418,1.6338,-0.74023,-0.71201,9
123,29,-0.17285,1.6738,-0.75586,-0.71201,10
123,29,-0.29297,1.6631,-0.8125,-0.71201,8
123,29,0,1.6689,-0.31836,-0.356,8
123,29,0,1.7139,-0.22266,-0.356,11
123,29,0.054688,1.7256,-0.3291,-0.356,10
123,29,-0.39063,1.5039,-0.88086,-0.356,12
123,29,-0.22656,1.6885,-0.62793,-0.356,22
123,29,-0.17285,1.6816,-0.73926,-0.356,28
123,29,-0.23438,1.6777,-0.80273,-0.356,24
123,29,-0.29785,1.6865,-0.83203,-0.356,16
123,29,-0.24121,1.7021,-0.88281,-0.356,8
123,29,-2.0635,0.58301,1.9082,-0.356,6
123,29,-0.54883,0.26563,-1.6484,-0.356,7
123,29,-0.12109,1.6738,-0.95898,-0.356,8
123,29,-0.80762,1.1328,2.5107,-0.356,5
124,18,-0.21973,1.6543,-0.5498,0,5
124,18,-0.2793,1.6631,-0.58887,0,9
124,18,-0.28418,1.667,-0.66309,0,13
124,18,-0.17285,1.7246,-0.63184,0,14
124,18,-0.29297,1.6865,-0.76367,0,9
124,18,0,1.6816,0.50879,0.356,5
124,18,-0.16797,1.7754,0.11133,0.356,8
124,18,-0.22656,1.7793,-0.28223,0.356,10
124,18,-0.23047,1.7539,-0.52637,0.356,10
124,18,-0.2793,1.5166,-0.90234,-0.71201,7
124,18,-0.16992,1.5908,-0.86035,-0.71201,11
124,18,-0.23047,1.6221,-0.84961,-0.71201,11
124,18,-0.23438,1.6182,-0.91699,-0.71201,8
124,18,-0.22363,1.4004,-1.0859,-0.356,12
124,18,-0.16992,1.6045,-0.83203,-0.356,18
124,18,-0.17285,1.6484,-0.81055,-0.356,19
124,18,-0.11719,1.6758,-0.83203,-0.356,15
124,18,-0.23828,1.6689,-0.88477,-0.356,8
125,45,-0.22363,1.7246,-0.40918,0,9
125,45,-0.22656,1.7168,-0.54688,0,12
125,45,-0.23047,1.7568,-0.51563,0,13
125,45,-0.23438,1.7959,-0.48242,0,12
125,45,-0.23828,1.8145,-0.52637,0,9
125,45,-0.24121,1.8467,-0.51758,0,5
125,45,0,1.6973,-0.077148,0.356,7
125,45,-0.1084,1.7188,-0.14746,0.356,13
125,45,-0.10938,1.7432,-0.19531,0.356,18
125,45,-0.16797,1.7627,-0.23828,0.356,21
125,45,-0.16992,1.7891,-0.26172,0.356,20
125,45,-0.23047,1.792,-0.37305,0.356,15
125,45,-0.17578,1.833,-0.35156,0.356,9
125,45,-0.16797,1.7676,-0.19531,0.71201,6
125,45,-0.16992,1.8018,-0.1543,0.71201,6
125,45,-0.19434,1.4111,-0.61719,-1.78,6
125,45,-0.27441,1.2686,-0.67871,-1.424,8
