Frame #,# Obj,X,Y,Z,Doppler,Intensity
4,6,0.12598,2.0156,-0.081055,0,4
4,6,0.18652,1.9668,-0.25,-0.356,7
4,6,0.18945,1.9844,-0.33301,-0.356,9
4,6,0.12793,2.0215,-0.31543,-0.356,8
4,6,0.12988,2.0449,-0.35352,-0.356,5
4,6,-0.56055,1.085,1.5732,-0.356,4
5,9,0.18359,1.9268,-0.32324,0,5
5,9,0.12402,1.9658,-0.29785,0,5
5,9,0.18359,1.9238,-0.34277,-0.71201,7
5,9,0.0625,1.9756,-0.24805,-0.71201,7
5,9,0.12598,2.0068,-0.19922,-0.71201,6
5,9,0.12109,1.9111,-0.26172,-0.356,6
5,9,0.061523,1.9541,-0.16699,-0.356,9
5,9,0.0625,1.9766,-0.23633,-0.356,9
5,9,0.12598,2.0127,-0.12598,-0.356,8
7,5,0,2.1074,-0.083008,0.356,4
7,5,0.26758,2.1133,-0.18164,0.356,8
7,5,0.27051,2.1152,-0.38574,0.356,10
7,5,0.34277,2.0986,-0.5498,0.356,10
7,5,0.34766,2.1426,-0.49316,0.356,8
9,7,0.41211,1.54,-1.5107,0.356,5
9,7,0.41699,1.8887,-1.1016,0.356,8
9,7,0.35254,2.0322,-0.91309,0.356,8
9,7,0.35742,2.123,-0.76563,0.356,6
9,7,-0.20605,1.8613,1.1484,0.356,5
9,7,-0.27832,1.834,1.2305,0.356,6
9,7,-0.35254,1.9209,1.1279,0.356,5
39,1,0,1.6855,0.81934,-0.356,5
40,20,0.17285,1.833,-0.11523,0,5
40,20,0.29297,1.8096,-0.39258,0,9
40,20,0.29785,1.8408,-0.38477,0,10
40,20,0.24121,1.8701,-0.42773,0,8
40,20,0.30664,1.8838,-0.45703,0,5
40,20,0.23047,1.8145,-0.24512,0.356,10
40,20,0.29297,1.832,-0.2666,0.356,16
40,20,0.29785,1.8535,-0.31543,0.356,19
40,20,0.30176,1.875,-0.3623,0.356,16
40,20,0.30664,1.9033,-0.36816,0.356,10
40,20,0.06543,2.0752,-0.11816,0.356,9
40,20,0.06543,2.1055,-0.10059,0.356,12
40,20,0.066406,2.1279,-0.2002,0.356,12
40,20,0.067383,2.1602,-0.15918,0.356,9
40,20,0.068359,2.1563,-0.41211,0.356,5
40,20,0.29297,1.8262,-0.30273,0.71201,7
40,20,0.35742,1.8545,-0.23828,0.71201,9
40,20,0.30176,1.9023,-0.16406,0.71201,7
40,20,0,2.1045,-0.13281,0.71201,5
40,20,0,2.1436,0.32031,-0.356,8
41,24,0,1.8643,-0.19238,0.356,5
41,24,0.17871,1.8926,-0.095703,0.356,16
41,24,0.18164,1.9219,-0.10254,0.356,30
41,24,0.24512,1.9453,-0.081055,0.356,38
41,24,0.24902,1.9756,-0.03418,0.356,33
41,24,0.18945,2.0098,-0.088867,0.356,18
41,24,0.13574,2.1611,-0.086914,0.356,7
41,24,0.11719,1.8711,0.0068359,0.71201,11
41,24,0.23828,1.8887,0.0048828,0.71201,32
41,24,0.24121,1.918,0.015625,0.71201,59
41,24,0.24512,1.9473,0.018555,0.71201,73
41,24,0.24902,1.9756,0.027344,0.71201,62
41,24,0.25293,2.0039,0.060547,0.71201,35
41,24,0.19238,2.0332,0.17969,0.71201,11
41,24,0,1.874,-0.045898,1.068,5
41,24,0.17871,1.8945,0.047852,1.068,17
41,24,0.24121,1.915,0.10547,1.068,30
41,24,0.18359,1.9521,0.087891,1.068,36
41,24,0.24902,1.9717,0.13574,1.068,30
41,24,0.18945,2.001,0.21191,1.068,16
41,24,0.42969,1.9023,0.21484,1.424,6
41,24,0.49805,1.9219,0.15527,1.424,9
41,24,0.37891,1.9854,0.0078125,1.424,8
41,24,0.38477,2.0059,0.1748,1.424,5
42,8,0.067383,2.1494,-0.27051,0,5
42,8,0.06543,2.0947,-0.23145,0.356,6
42,8,0.066406,2.1318,-0.1416,0.356,9
42,8,0.067383,2.1582,-0.19043,0.356,10
42,8,0.1377,2.1836,-0.19727,0.356,9
42,8,0.12598,2.0166,0.032227,1.068,7
42,8,0,2.0498,-0.021484,1.068,7
42,8,0,2.0762,-0.11914,1.068,5
43,27,0,2.1055,-0.12109,0,5
43,27,0,2.1328,-0.14844,0,9
43,27,0,2.1543,-0.24023,0,12
43,27,0,2.1934,-0.12598,0,13
43,27,0.069336,2.2207,-0.14258,0,11
43,27,0.070313,2.252,-0.089844,0,7
43,27,0,2.0771,-0.09375,0.356,14
