Frame #,# Obj,X,Y,Z,Doppler,Intensity
256,4,0,2.1436,0.32031,-0.356,7
256,4,0,2.1582,0.41113,-0.356,7
256,4,0,2.1553,0.55664,-0.356,5
256,4,1.1826,1.1025,-1.5303,-0.356,3
257,27,0,1.8311,1.1602,0.356,9
257,27,0,1.8604,1.168,0.356,11
257,27,0,2.1143,0.69629,0.356,10
257,27,0,2.0732,0.1582,-1.424,7
257,27,0,2.1035,0.15332,-1.424,10
257,27,0,2.1318,0.16309,-1.424,11
257,27,0,2.1563,0.22168,-1.424,9
257,27,0,2.0977,0.21191,-1.068,8
257,27,0,2.1279,0.20898,-1.068,10
257,27,-0.13574,2.1611,0.10156,-1.068,9
257,27,0,2.1748,0.31152,-1.068,6
257,27,0,2.1563,0.22168,-0.71201,8
257,27,0,2.1807,0.26563,-0.71201,8
257,27,0,2.2188,0.17383,-0.71201,7
257,27,0,2.2432,0.23145,-0.71201,6
257,27,0,2.0557,0.77441,-0.356,9
257,27,0,2.1748,0.47461,-0.356,12
257,27,0,2.2256,0.36719,-0.356,12
257,27,0.071289,2.2305,0.49023,-0.356,9
257,27,1.1514,0.30957,-1.8096,0.356,5
257,27,1.167,0.83496,-1.6631,0.356,6
257,27,1.252,1.0781,-1.4922,0.356,6
257,27,1.167,0.67285,-1.7354,-1.068,4
257,27,1.167,0.31348,-1.834,-0.71201,5
257,27,1.1826,0.68164,-1.7588,-0.71201,5
257,27,1.167,0.31348,-1.834,-0.356,5
257,27,1.4277,0.90723,-1.5352,-0.356,5
258,43,0.12109,1.9199,0.19434,0,5
258,43,0.12305,1.9434,0.24512,0,6
258,43,0.0625,1.9863,0.12402,0,5
258,43,0,2.1582,0.19629,0,9
258,43,0.1377,2.1885,0.13672,0,8
258,43,0.27832,2.2002,0.18652,0,8
258,43,0.28223,2.2324,0.1543,0,9
258,43,0.28516,2.25,0.27441,0,8
258,43,0.18164,1.9111,0.22949,0.356,11
258,43,0.18359,1.9346,0.27637,0.356,13
258,43,0.12402,1.9717,0.24902,0.356,10
258,43,0.06543,2.0742,0.13672,0.356,12
258,43,0.28223,2.2344,0.11133,0.356,12
258,43,0.28516,2.2568,0.21094,0.356,11
258,43,0.12305,1.9375,0.28613,0.71201,10
258,43,0,2.0791,0.05957,-0.71201,8
258,43,0.06543,2.1035,0.13184,-0.71201,12
258,43,0.066406,2.1289,0.18555,-0.71201,13
258,43,0,2.1572,0.21289,-0.71201,9
258,43,0.28223,2.2334,-0.13184,-0.71201,8
258,43,0.12988,2.0742,0.063477,-0.356,12
258,43,0.06543,2.1035,0.13184,-0.356,16
258,43,0.066406,2.1348,0.10547,-0.356,18
258,43,0.067383,2.166,-0.024414,-0.356,16
258,43,0.20605,2.1777,-0.2041,-0.356,14
258,43,0.34766,2.1973,0.070313,-0.356,20
258,43,0.35254,2.2256,0.091797,-0.356,27
258,43,0.35742,2.2539,0.1084,-0.356,25
258,43,1.208,0,1.6475,0,3
258,43,1.2881,0,1.8838,0,4
258,43,1.2451,0,1.7881,0,3
258,43,1.1514,0.92188,-1.5879,0,5
258,43,1.373,0,-1.8721,0,5
258,43,1.3291,0,-1.623,0.356,7
258,43,1.3486,0,-1.6396,0.356,8
258,43,1.2451,0,1.9912,0.356,6
258,43,1.2881,0.49023,-1.3975,0.71201,6
258,43,1.2695,0.55566,-1.6279,-0.71201,8
258,43,1.2871,0.57324,-1.6475,-0.71201,6
258,43,1.3184,0,-1.7305,-0.356,11
258,43,1.2695,0,-1.7373,-0.356,13
258,43,1.3545,0,-1.8564,-0.356,13
258,43,1.4414,0,-2.0186,-0.356,11
259,64,0,2.1084,0,0,4
259,64,0.20605,2.1855,0.087891,0,7
259,64,0.27832,2.1963,0.22754,0,11
259,64,0.21191,2.2383,0.17676,0,12
259,64,2.582,0.62109,0.22656,0,7
259,64,1.4316,0.46484,-2.2354,0,6
259,64,1.5322,0,-2.2607,0,5
259,64,0,1.9561,0.37305,0.356,10
259,64,0,1.9688,0.45801,0.356,13
259,64,0,1.999,0.45605,0.356,13
259,64,0,1.9912,0.59961,0.356,9
259,64,1.5303,0.54688,-2,0.71201,12
259,64,1.5479,0.34961,-2.0684,0.71201,14
259,64,1.5654,0,-2.1416,0.71201,11
259,64,1.5127,0.49609,-1.9893,1.068,10
259,64,1.6113,0.74902,-1.8672,1.068,18
259,64,1.5479,0.89941,-1.8945,1.068,19
259,64,1.6475,0.78418,-1.9023,1.068,15
259,64,1.666,0.66699,-1.9707,1.068,8
259,64,0.12988,1.8223,0.99316,1.424,8
259,64,0.13184,1.9141,0.87402,1.424,9
259,64,1.5127,0.96484,-1.8096,1.424,7
259,64,1.6113,1.1797,-1.6299,1.424,11
259,64,1.6289,0.99707,-1.7734,1.424,12
259,64,1.5654,1.335,-1.6484,1.424,8
259,64,0.12988,1.8877,0.8623,1.78,8
259,64,0.19727,1.8271,1.0332,1.78,9
259,64,1.6914,1.2646,-1.4775,1.78,9
259,64,1.7109,1.374,-1.4072,1.78,10
259,64,1.7295,1.1963,-1.5889,1.78,7
259,64,0.34766,2.1973,0.075195,-0.71201,8
259,64,1.4316,0,-2.3564,-0.71201,6
259,64,0,2.0059,0.24512,-0.356,8
259,64,0,2.0449,0.14844,-0.356,10
259,64,0,2.0605,0.27832,-0.356,10
259,64,0,2.0615,0.44336,-0.356,11
259,64,0.066406,2.0947,0.42383,-0.356,12
259,64,0.20313,2.1191,0.40625,-0.356,13
259,64,0.27441,2.1719,0.18359,-0.356,17
259,64,0.27832,2.207,0.075195,-0.356,22
259,64,0.28223,2.2373,0.025391,-0.356,24
259,64,0.28516,2.2646,0.083984,-0.356,20
259,64,1.499,0,-2.3994,-0.356,14
259,64,1.5156,0,-2.3955,-0.356,14
259,64,1.5322,0,-2.3164,-0.356,10
259,64,1.1865,0.62109,1.6289,0,3
