Frame #,# Obj,X,Y,Z,Doppler,Intensity
139,8,0.075195,2.375,-0.34668,0.356,8
139,8,0.15234,2.3984,-0.36523,0.356,12
139,8,0.15332,2.4287,-0.3584,0.356,12
139,8,0.078125,2.4629,-0.35449,0.356,8
139,8,0.075195,2.3457,-0.50879,-0.356,6
139,8,0.076172,2.375,-0.51563,-0.356,10
139,8,0.15332,2.4316,-0.34082,-0.356,10
139,8,0.2334,2.4199,-0.53418,-0.356,7
140,5,0.076172,2.3867,-0.45605,0.356,7
140,5,0.077148,2.457,-0.098633,0.356,7
140,5,0.15527,2.4717,-0.25,0.356,6
140,5,0.15234,2.3828,-0.45703,-0.356,6
140,5,0.15332,2.4277,-0.36719,-0.356,6
151,4,0.077148,2.415,-0.46094,0.356,7
151,4,0.15234,2.4072,-0.30371,-0.356,7
151,4,0.077148,2.415,-0.46094,-0.356,8
151,4,0.078125,2.4795,-0.21191,-0.356,7
152,8,0.080078,2.542,0.15918,0,5
152,8,0,2.3799,-0.49805,0.356,7
152,8,0.075195,2.3789,-0.32422,-0.356,6
152,8,0.076172,2.3945,-0.41309,-0.356,8
152,8,0.15332,2.4238,-0.39453,-0.356,7
152,8,0.080078,2.5361,0.22949,-0.356,7
152,8,0.16113,2.5654,0.19336,-0.356,7
152,8,0.081055,2.5957,0.22656,-0.356,6
153,50,0.060547,1.917,0.24219,0,4
153,50,0.30664,1.9385,-0.030273,0,6
153,50,0.24902,1.9756,0.048828,0,6
153,50,0.37891,1.9746,0.20313,0,6
153,50,0.15332,2.4512,0.14453,0,17
153,50,0.15527,2.4785,0.1748,0,23
153,50,0.15723,2.5039,0.22168,0,24
153,50,0.15918,2.5273,0.28027,0,20
153,50,0.080078,2.5537,0.33789,0,15
153,50,0,2.5508,0.53711,0,12
153,50,0,2.5938,0.46875,0,10
153,50,0,2.6113,0.5332,0,6
153,50,0.25293,2.0039,0.080078,0.356,6
153,50,0.077148,2.459,0.021484,0.356,19
153,50,0.078125,2.4736,-0.27051,0.356,17
153,50,0.31445,2.4951,-0.14453,0.356,16
153,50,0.31836,2.5244,-0.13379,0.356,17
153,50,0.24121,2.5664,0.00097656,0.356,15
153,50,-1.2305,1.1953,-2.7959,0.356,3
153,50,0,1.8008,0.52148,0.71201,9
153,50,0.05957,1.8447,0.46875,0.71201,15
153,50,0.18164,1.8926,0.35059,0.71201,20
153,50,0.18359,1.916,0.38281,0.71201,19
