Frame #,# Obj,X,Y,Z,Doppler,Intensity
143,2,0.12305,1.918,-0.39844,-0.356,9
143,2,-0.55176,0.69238,1.751,-0.356,5
152,28,0.045898,1.46,-0.11035,0,7
152,28,0,1.4863,-0.14648,0,7
152,28,0,1.5059,-0.22461,0,6
152,28,0,1.377,-0.28125,0.356,6
152,28,0,1.4219,-0.19531,0.356,13
152,28,0,1.457,-0.14355,0.356,18
152,28,0,1.4814,-0.18945,0.356,20
152,28,0,1.5088,-0.20703,0.356,18
152,28,0.048828,1.542,-0.17285,0.356,13
152,28,0.12305,1.9365,-0.29492,0.356,24
152,28,0.12402,1.9541,-0.36426,0.356,21
152,28,0,1.3984,-0.14355,0.71201,7
152,28,0,1.4336,-0.060547,0.71201,14
152,28,0,1.457,-0.15039,0.71201,20
152,28,0,1.4873,-0.13477,0.71201,22
152,28,0.047852,1.5186,-0.10742,0.71201,20
152,28,0.048828,1.5488,-0.084961,0.71201,14
152,28,0,1.4932,-0.052734,1.068,7
152,28,0.12109,1.8887,-0.39258,-0.71201,8
152,28,0.12305,1.918,-0.39844,-0.71201,12
152,28,0.18652,1.9463,-0.38086,-0.71201,12
152,28,0.063477,1.9434,-0.5498,-0.71201,8
152,28,0.11914,1.876,-0.30176,-0.356,12
152,28,0.18164,1.8975,-0.32324,-0.356,26
152,28,0.12305,1.9131,-0.41797,-0.356,36
152,28,0.12402,1.9385,-0.43848,-0.356,35
152,28,0.18945,1.9648,-0.43359,-0.356,24
152,28,0.09375,1.4795,-0.18652,0,7
153,28,0,1.8486,-0.3125,0.356,8
153,28,0.05957,1.8857,-0.25488,0.356,16
153,28,0.12109,1.9053,-0.30273,0.356,20
153,28,0.061523,1.9072,-0.45898,0.356,13
153,28,0.063477,2.0098,0.20117,0.356,18
153,28,0.12793,2.0459,-0.019531,0.356,23
153,28,1.3018,0,2.1836,0.356,11
153,28,1.3184,0,2.2334,0.356,12
153,28,0.05957,1.8857,-0.25684,0.71201,11
153,28,0,1.7549,-0.33398,1.068,7
153,28,0,1.582,-0.30176,2.136,6
153,28,0,1.5977,-0.37207,2.136,8
153,28,0,1.6338,-0.3457,2.136,8
153,28,0,1.5391,-0.47559,2.492,6
153,28,0,1.6035,-0.34473,2.492,8
153,28,0,1.624,-0.3877,2.492,7
153,28,0.063477,2.0039,0.25293,-0.71201,6
153,28,0.064453,2.0488,0.046875,-0.71201,8
153,28,0.23828,1.8545,-0.35645,-0.356,10
153,28,0.18164,1.8828,-0.39746,-0.356,15
153,28,0.24512,1.8633,-0.56641,-0.356,12
153,28,0,1.8994,0.59961,-0.356,6
153,28,0.063477,2.0107,0.19043,-0.356,21
153,28,0.12793,2.0459,-0.045898,-0.356,29
153,28,0.19531,2.0664,-0.12012,-0.356,26
153,28,-0.73633,0.45508,1.7617,0.356,7
153,28,2.1689,0.80078,-0.083984,0.356,7
153,28,2.1963,0.79785,-0.16992,0.356,8
154,64,0.060547,1.9141,-0.26367,0,6
154,64,0.12305,1.9365,-0.29297,0,9
154,64,0.24902,1.9727,-0.11133,0,12
154,64,0.18945,2.0107,-0.058594,0,12
154,64,0.12793,2.0459,0.017578,0,11
154,64,0.19531,2.0684,-0.09082,0,12
154,64,0.13184,2.1006,-0.13379,0,12
154,64,0.18164,1.916,-0.17969,0.356,10
154,64,0.18359,1.9531,-0.032227,0.356,22
154,64,0.18652,1.9824,0.027344,0.356,34
