Frame #,# Obj,X,Y,Z,Doppler,Intensity
164,50,-0.40723,2.5381,-0.42969,0,5
164,50,-0.24707,2.6104,-0.27344,0,11
164,50,-0.25,2.6309,-0.34668,0,18
164,50,-0.25293,2.6426,-0.46484,0,23
164,50,-0.16992,2.6865,-0.41406,0,23
164,50,0,2.7188,-0.43262,0,15
164,50,1.959,0,2.5469,0,16
164,50,1.8779,0,2.6416,0,14
164,50,1.8955,0.6543,2.4844,0,9
164,50,2.665,1.6455,-0.97461,0,4
164,50,2.8955,1.2705,-0.97656,0,5
164,50,1.6699,1.9199,2.1621,0,3
164,50,0,2.4873,-0.1123,0.356,7
164,50,0,2.5186,-0.061523,0.356,10
164,50,0,2.5479,0,0.356,11
164,50,0,2.5674,0.22852,0.356,10
164,50,-0.24707,2.54,-0.66016,-0.71201,11
164,50,-0.25,2.5518,-0.72656,-0.71201,19
164,50,0,2.6406,-0.53711,-0.71201,26
164,50,-0.16992,2.6572,-0.5752,-0.71201,26
164,50,-0.17188,2.6924,-0.54785,-0.71201,18
164,50,1.8604,0.55078,2.4609,-0.71201,14
164,50,1.8779,0.59766,2.4736,-0.71201,13
164,50,2.7676,1.4316,-1.0254,-0.71201,4
164,50,2.793,1.3242,-1.1836,-0.71201,4
164,50,1.6699,1.9199,2.1621,-0.71201,3
164,50,0,2.4717,-0.30176,-0.356,6
164,50,0,2.498,-0.32422,-0.356,8
164,50,0,2.5352,-0.25391,-0.356,9
164,50,0,2.5713,-0.17969,-0.356,11
164,50,-0.24414,2.5742,-0.3291,-0.356,14
164,50,-0.24707,2.5947,-0.39551,-0.356,23
164,50,-0.25,2.5986,-0.53906,-0.356,36
164,50,-0.083984,2.6465,-0.49805,-0.356,48
164,50,-0.16992,2.6738,-0.49219,-0.356,45
164,50,1.959,0,2.5215,-0.356,34
164,50,1.8779,0,2.6055,-0.356,31
164,50,1.8955,0.10742,2.5664,-0.356,20
164,50,2.8701,1.2617,-0.96484,-0.356,8
164,50,2.8955,1.2598,-0.99023,-0.356,8
164,50,2.9219,1.1895,-1.0947,-0.356,6
164,50,1.4355,1.7344,2.3857,0,3
164,50,1.3447,1.9033,2.3506,0,3
164,50,2.7129,1.792,-0.75977,0,3
164,50,1.333,2.3623,1.8447,-0.71201,3
164,50,1.4482,2.1396,2.0684,-0.71201,3
164,50,2.8174,1.1367,-1.3857,-0.71201,3
164,50,1.5381,2.0977,1.999,-0.356,6
164,50,1.5518,2.0264,2.1064,-0.356,6
164,50,1.4609,2.0225,2.2188,-0.356,4
165,64,-0.47754,2.5029,-0.0097656,0,8
165,64,-0.40234,2.5166,-0.38477,0,19
165,64,-0.40723,2.5244,-0.50781,0,29
165,64,-0.49414,2.4932,-0.69824,0,30
165,64,-0.5,2.458,-0.90137,0,24
165,64,0.33691,2.6709,-0.11621,0,15
165,64,1.8086,0,2.7803,0,26
165,64,1.9219,0,2.8135,0,35
165,64,1.9404,0,2.9248,0,35
165,64,1.8604,0,2.9521,0,28
165,64,1.8779,0,2.9414,0,19
165,64,1.6963,0,2.9209,0,13
165,64,1.7275,0.96289,2.5811,0,9
165,64,0,2.4395,-0.31738,0.356,8
165,64,0,2.4854,-0.14258,0.356,15
165,64,0,2.5156,0.12793,0.356,18
165,64,0,2.5332,0.27539,0.356,15
165,64,0,2.5068,0.59863,0.356,8
165,64,1.582,0,-2.877,0.356,12
165,64,1.5967,0,-3.0244,0.356,11
165,64,1.6113,0,-3.0342,0.356,8
165,64,0,2.3867,-0.80469,-2.136,7
165,64,0,2.4336,-0.75488,-2.136,10
165,64,0,2.4727,-0.72656,-2.136,11
165,64,0,2.5332,-0.61523,-2.136,8
165,64,0,2.4951,-0.64453,-1.78,6
165,64,0,2.4941,-0.52148,-1.424,10
165,64,0.080078,2.5205,-0.53125,-1.424,20
165,64,0.081055,2.5439,-0.56445,-1.424,25
165,64,0.082031,2.585,-0.51172,-1.424,23
165,64,0.083008,2.6045,-0.56055,-1.424,14
165,64,0,2.4912,-0.53418,-1.068,19
165,64,0.080078,2.5225,-0.52246,-1.068,33
165,64,0.081055,2.5488,-0.54004,-1.068,38
165,64,0.3291,2.5859,-0.38867,-1.068,38
165,64,0.33301,2.5996,-0.48535,-1.068,33
165,64,0.33691,2.5967,-0.63672,-1.068,24
165,64,1.9219,0,2.4326,-1.068,26
165,64,1.9404,0,2.543,-1.068,20
165,64,-0.23633,2.4902,-0.29688,-0.71201,10
165,64,-0.31836,2.4922,-0.4248,-0.71201,32
165,64,-0.32227,2.5156,-0.45898,-0.71201,64
165,64,-0.40723,2.542,-0.40918,-0.71201,89
165,64,-0.49414,2.5859,-0.13086,-0.71201,90
165,64,0.41602,2.5576,-0.62402,-0.71201,73
165,64,0.33691,2.6016,-0.61621,-0.71201,57
165,64,0.34082,2.6445,-0.55859,-0.71201,32
165,64,1.9219,0,2.5537,-0.71201,57
165,64,2.0371,0,2.6387,-0.71201,54
165,64,1.959,0,2.6123,-0.71201,42
165,64,0,2.4873,0.098633,-0.356,8
165,64,-0.15723,2.501,-0.25293,-0.356,13
165,64,-0.31836,2.5078,-0.31934,-0.356,32
165,64,-0.32227,2.5479,-0.21777,-0.356,63
165,64,-0.40723,2.5693,-0.16699,-0.356,88
165,64,-0.41211,2.6035,0.03418,-0.356,89
165,64,-0.5,2.5332,0.66309,-0.356,67
165,64,0.33691,2.6084,-0.58594,-0.356,45
165,64,1.9033,0,2.6104,-0.356,55
165,64,1.9219,0,2.6504,-0.356,74
165,64,1.9404,0,2.707,-0.356,74
165,64,1.959,0,2.7354,-0.356,57
165,64,1.626,0.97168,2.6426,-0.356,19
165,64,0.40723,2.4707,0.72266,0,15
166,61,0,2.417,-0.46094,0,7
166,61,0,2.457,-0.39844,0,19
166,61,0,2.498,-0.32031,0,35
166,61,0,2.5342,-0.26465,0,49
166,61,0,2.5723,-0.15918,0,59
166,61,0,2.6045,-0.11328,0,57
166,61,0,2.6348,-0.09375,0,43
166,61,0,2.6641,-0.0625,0,21
166,61,1.7139,0,2.9023,0,17
166,61,1.7295,0,2.8379,0,21
166,61,1.7461,0,2.9951,0,20
166,61,1.665,0,3.0498,0,15
166,61,1.6807,0,3.1328,0,10
166,61,0,2.4463,-0.25781,0.356,19
166,61,0,2.4727,-0.28906,0.356,47
166,61,0.079102,2.5049,-0.25781,0.356,79
166,61,0,2.5381,-0.22266,0.356,106
166,61,0,2.5732,-0.14746,0.356,114
166,61,0,2.6055,-0.06543,0.356,105
166,61,0,2.6357,0.014648,0.356,77
166,61,0,2.665,0.017578,0.356,41
166,61,1.6338,0,2.8857,0.356,27
166,61,1.6494,0,2.9941,0.356,28
166,61,1.5674,0,3.0889,0.356,22
166,61,1.6807,0,-3.0244,0.356,14
166,61,0,2.4473,-0.25195,0.71201,6
166,61,0,2.4824,-0.19043,0.71201,16
166,61,0.079102,2.5137,-0.1377,0.71201,28
166,61,0,2.5469,-0.086914,0.71201,38
166,61,0,2.5771,0.0048828,0.71201,42
166,61,0,2.6064,0.061523,0.71201,40
166,61,0,2.6318,0.14258,0.71201,30
166,61,0,2.6621,0.12012,0.71201,16
166,61,1.6338,0,2.9922,0.71201,10
166,61,1.6494,0,3.0371,0.71201,10
166,61,1.5674,0,3.1338,0.71201,8
166,61,0,2.5557,-0.33203,-1.068,6
166,61,0,2.5869,-0.32129,-1.068,7
166,61,0,2.46,-0.54297,-0.71201,10
166,61,0,2.498,-0.50391,-0.71201,17
166,61,0,2.5234,-0.52637,-0.71201,22
166,61,0.081055,2.5596,-0.48828,-0.71201,21
166,61,0.16504,2.5674,-0.57617,-0.71201,14
166,61,0,2.4404,-0.49219,-0.356,15
166,61,0,2.4658,-0.51563,-0.356,25
166,61,0,2.4873,-0.55273,-0.356,32
166,61,0.080078,2.5195,-0.53613,-0.356,32
166,61,0.081055,2.543,-0.56641,-0.356,24
166,61,0.24707,2.5576,-0.58984,-0.356,13
166,61,1.9219,0.38281,2.3701,-0.356,15
166,61,-0.8457,0.52051,2.251,0,4
166,61,-0.48926,3.0947,0.069336,0,8
166,61,-0.59277,3.0879,0.34766,0,6
166,61,2.7871,1.29,-0.16016,0.356,16
166,61,-0.48535,3.0664,0.057617,0.356,18
166,61,2.7422,1.5166,-0.03125,0.356,14
166,61,2.7676,1.5264,0.125,0.356,8
166,61,2.6904,1.4863,-0.084961,0.71201,6
166,61,2.8135,1.3066,0.11816,0.71201,7
166,61,2.8398,1.3232,0.072266,0.71201,6
166,61,-0.74121,1.8047,1.7725,-0.356,8
167,50,0.079102,2.498,-0.31445,0,9
167,50,0.080078,2.5049,-0.46289,0,14
167,50,0.080078,2.5127,-0.56934,0,17
167,50,0.16309,2.5293,-0.60742,0,16
167,50,0.16504,2.5615,-0.59961,0,10
167,50,0.23633,2.4893,-0.30566,0.356,10
167,50,0.31836,2.4766,-0.50586,0.356,17
167,50,0.32227,2.4688,-0.66602,0.356,21
167,50,0.24414,2.5205,-0.62012,0.356,19
167,50,0.41211,2.5479,-0.53613,0.356,14
167,50,-0.25,2.4414,1.041,0.356,10
167,50,0.23926,2.4961,-0.45215,0.71201,10
167,50,0.24121,2.5303,-0.4248,0.71201,13
