Frame #,# Obj,X,Y,Z,Doppler,Intensity
149,48,0.074219,2.3516,-0.30664,0,6
149,48,0.15039,2.3838,-0.24805,0,17
149,48,0.22754,2.3975,-0.33105,0,32
149,48,0.15332,2.4355,-0.31348,0,38
149,48,0.2334,2.4561,-0.33203,0,33
149,48,0.15723,2.4883,-0.35742,0,19
149,48,0.074219,2.3545,-0.2793,0.356,9
149,48,0.22559,2.376,-0.26953,0.356,30
149,48,0.15234,2.4111,-0.27246,0.356,56
149,48,0.15332,2.4404,-0.27051,0.356,70
149,48,0.15527,2.4688,-0.28418,0.356,62
149,48,0.15723,2.4971,-0.28906,0.356,39
149,48,0.15918,2.5264,-0.29395,0.356,18
149,48,0.075195,2.3838,-0.28613,0.71201,16
149,48,0.076172,2.4131,-0.28418,0.71201,30
149,48,0.077148,2.4404,-0.29883,0.71201,38
149,48,0.078125,2.4688,-0.30762,0.71201,34
149,48,0.15723,2.5,-0.26367,0.71201,22
149,48,0.15918,2.5303,-0.25586,0.71201,10
149,48,0.075195,2.3916,-0.2041,1.068,15
149,48,0.076172,2.417,-0.24707,1.068,27
149,48,0.077148,2.4492,-0.22266,1.068,33
149,48,0,2.4707,-0.30176,1.068,28
149,48,0,2.501,-0.2959,1.068,16
149,48,0,2.418,-0.24902,1.424,6
149,48,0,2.4551,-0.1543,1.424,8
149,48,0,2.3467,-0.35059,-1.424,6
149,48,0,2.3848,-0.28809,-1.424,11
149,48,0,2.4082,-0.33008,-1.424,12
149,48,0.077148,2.4385,-0.31641,-1.424,10
149,48,0.074219,2.3701,-0.083984,-1.068,14
149,48,0.075195,2.3965,-0.14063,-1.068,25
149,48,0,2.4229,-0.20313,-1.068,30
149,48,0,2.4453,-0.26758,-1.068,27
149,48,0,2.4766,-0.25879,-1.068,17
149,48,0,2.3691,-0.11816,-0.71201,18
149,48,0,2.3975,-0.13867,-0.71201,39
149,48,0,2.4268,-0.1416,-0.71201,54
149,48,0,2.4551,-0.15332,-0.71201,54
149,48,0,2.4814,-0.2002,-0.71201,36
149,48,0,2.5098,-0.21387,-0.71201,17
149,48,0,2.3721,-0.024414,-0.356,12
149,48,0,2.4014,-0.02832,-0.356,27
149,48,0,2.4307,-0.020508,-0.356,37
149,48,0,2.459,-0.083984,-0.356,37
149,48,0,2.4883,-0.082031,-0.356,25
149,48,0,2.5078,-0.2373,-0.356,12
149,48,-0.70801,1.2549,2.0654,0,10
150,19,-0.074219,2.3711,-0.012695,0,6
150,19,0,2.4014,0,0,7
150,19,0,2.4277,0.12109,0,6
150,19,0,2.5693,-0.20117,0.356,8
150,19,0,2.5781,-0.38477,0.356,9
150,19,0,2.627,-0.22363,0.356,10
150,19,0,2.2695,-0.26074,-1.068,8
150,19,0,2.3086,-0.15332,-1.068,11
150,19,0,2.3271,-0.27148,-1.068,10
150,19,0,2.3643,-0.20117,-1.068,7
150,19,0,2.2549,0,-0.71201,7
150,19,0.071289,2.2813,-0.094727,-0.71201,16
150,19,0.072266,2.3076,-0.14844,-0.71201,21
150,19,0.073242,2.3389,-0.11426,-0.71201,19
150,19,0.074219,2.3662,-0.14941,-0.71201,10
150,19,0,2.2822,-0.10352,-0.356,7
150,19,0,2.3125,-0.083984,-0.356,8
150,19,0,2.4004,-0.084961,-0.356,10
150,19,-0.076172,2.4248,-0.15234,-0.356,12
151,37,0,2.2793,-0.39844,0.356,8
151,37,0,2.3018,-0.43848,0.356,10
151,37,0.074219,2.3398,-0.38379,0.356,11
151,37,0,2.3838,-0.29102,0.356,11
151,37,0,2.4043,-0.3584,0.356,11
151,37,0,2.2197,-0.39746,0.71201,8
151,37,0,2.2617,-0.31934,0.71201,17
151,37,0.072266,2.291,-0.31348,0.71201,27
151,37,0.073242,2.3164,-0.34277,0.71201,30
151,37,0,2.3447,-0.36426,0.71201,24
151,37,0.075195,2.3701,-0.37988,0.71201,17
151,37,1.6143,0,2.625,0.71201,23
151,37,1.6309,0,2.668,0.71201,23
151,37,1.7393,0,2.7324,0.71201,17
151,37,0,2.2705,-0.25684,1.068,13
151,37,0,2.3008,-0.25,1.068,21
151,37,0.073242,2.3262,-0.27246,1.068,24
151,37,0.074219,2.3535,-0.28711,1.068,19
151,37,0.075195,2.3701,-0.38086,1.068,11
151,37,1.5977,0,2.4863,1.068,9
151,37,1.6143,0,2.6221,1.068,13
151,37,1.7217,0,2.7861,1.068,13
151,37,1.6475,0,2.7305,1.068,9
151,37,0,2.459,-0.086914,-1.424,6
151,37,0,2.4307,-0.053711,-1.068,11
151,37,0,2.46,0,-1.068,16
151,37,0.078125,2.4883,0.012695,-1.068,15
151,37,0,2.5088,-0.22266,-1.068,10
151,37,0,2.4248,-0.17773,-0.71201,9
151,37,0,2.46,0.037109,-0.71201,12
151,37,0,2.4893,0,-0.71201,12
151,37,-0.53809,2.7969,-0.3584,0.71201,12
151,37,-0.54395,2.8164,-0.42578,0.71201,12
151,37,-0.35547,2.7998,-0.32813,1.068,6
151,37,-0.53809,2.8105,-0.22949,1.068,7
151,37,-0.54395,2.8311,-0.31152,1.068,7
151,37,-0.36621,2.8906,-0.2998,1.068,5
152,41,0.15039,2.3926,-0.14941,0,5
152,41,0.15234,2.416,-0.21777,0,7
152,41,0.23047,2.4424,-0.1875,0,8
152,41,0,2.4102,-0.62207,0,5
152,41,0,2.4092,-0.32813,0.356,10
152,41,0,2.4424,-0.2959,0.356,11
152,41,0,2.4736,-0.28223,0.356,9
152,41,0,2.4297,-0.064453,0.71201,11
152,41,0,2.4473,-0.25195,0.71201,14
152,41,-0.078125,2.4785,-0.22168,0.71201,13
152,41,0,2.501,-0.29883,0.71201,7
152,41,0,2.8711,-0.9248,0.71201,13
152,41,0,2.7393,-1.332,0.71201,11
152,41,0.075195,2.3721,-0.37109,1.068,10
152,41,0.076172,2.3633,-0.56543,1.068,13
152,41,0.15332,2.4219,-0.40527,1.068,12
152,41,0.15527,2.459,-0.35547,1.068,8
152,41,1.7568,0,2.543,1.068,9
152,41,1.7734,0,2.5732,1.068,12
152,41,1.6973,0,2.6104,1.068,11
152,41,0,3.0039,-0.50293,1.068,8
152,41,0.075195,2.3916,-0.2041,1.424,12
152,41,0.076172,2.415,-0.27051,1.424,18
152,41,0.077148,2.4463,-0.24609,1.424,19
152,41,0.078125,2.4707,-0.2998,1.424,14
152,41,0.079102,2.5088,-0.21387,1.424,8
152,41,0,2.3711,-0.0625,-1.068,12
152,41,0,2.3975,-0.13867,-1.068,15
152,41,0,2.4248,-0.16699,-1.068,13
152,41,0,2.3721,0.057617,-0.71201,8
152,41,0,2.3984,0.12598,-0.71201,8
152,41,0.22559,2.375,-0.27344,-0.356,9
152,41,0.22754,2.3984,-0.32422,-0.356,14
152,41,0.23047,2.4375,-0.24414,-0.356,14
152,41,0.15527,2.4775,-0.18945,-0.356,10
152,41,-0.77832,0.9209,2.1787,0,3
152,41,1.6973,1.4609,2.0215,0.71201,7
152,41,-0.092773,2.9561,0.045898,1.068,6
152,41,-0.18652,2.9785,-0.14063,1.068,9
152,41,-0.094727,3.0137,-0.10156,1.068,11
152,41,1.7139,0,2.665,1.068,7
153,49,-0.15039,2.3926,0.14941,0,7
153,49,-0.15234,2.4258,-0.064453,0,15
153,49,-0.15332,2.4541,-0.084961,0,21
153,49,-0.15527,2.4814,-0.11719,0,20
153,49,0,2.5127,-0.17773,0,13
153,49,-0.15234,2.3164,-0.72168,0.356,9
153,49,-0.23047,2.4033,-0.47461,0.356,12
153,49,-0.2334,2.4482,-0.38965,0.356,11
