Frame #,# Obj,X,Y,Z,Doppler,Intensity
145,21,-0.25293,2.6826,0.046875,0,7
145,21,-0.25488,2.708,0.15137,0,14
145,21,-0.17188,2.7412,0.18652,0,18
145,21,-0.26074,2.7637,0.18945,0,16
145,21,-0.26367,2.7891,0.24414,0,10
145,21,-0.16992,2.7168,-0.083984,-0.71201,12
145,21,-0.17188,2.748,0.010742,-0.71201,15
145,21,-0.26074,2.7695,-0.045898,-0.71201,13
145,21,-0.35156,2.79,0,-0.71201,8
145,21,-0.25293,2.6816,-0.085938,-0.356,15
145,21,-0.16992,2.7188,0.0068359,-0.356,29
145,21,-0.17188,2.7471,0.071289,-0.356,37
145,21,-0.17383,2.7764,0.074219,-0.356,33
145,21,-0.26367,2.7988,0.058594,-0.356,20
145,21,1.4092,0,-2.9648,-0.356,4
145,21,1.626,0,-3.1221,-0.356,5
145,21,1.5381,1.1367,-2.665,-0.356,4
145,21,-0.083984,2.6924,-0.047852,-0.356,15
145,21,2.8193,1.5439,-0.22461,-0.356,4
145,21,2.7432,1.7432,0.072266,-0.356,5
145,21,2.7676,1.749,-0.20508,-0.356,4
146,14,0,2.7227,0.40625,0,5
146,14,0,2.7568,0.375,0,6
146,14,0,2.4697,1.1494,0.356,11
146,14,0,2.5996,0.90625,0.356,11
146,14,0,2.7227,-0.070313,-0.71201,7
146,14,-0.085938,2.75,0.11035,-0.71201,9
146,14,0,2.7744,0.21094,-0.71201,8
146,14,0,2.7217,-0.10742,-0.356,11
146,14,0,2.751,-0.09668,-0.356,13
146,14,-0.17383,2.7764,0.050781,-0.356,12
146,14,1.4092,0,-3.0215,-0.356,4
146,14,1.5244,0,3.1943,-0.356,4
146,14,2.5166,2.001,0.20117,-0.356,3
146,14,2.7432,1.6826,0.46289,-0.356,3
147,7,0.083984,2.3203,1.3672,0.356,10
147,7,0.084961,2.4092,1.2676,0.356,14
147,7,0.085938,2.4102,1.3271,0.356,13
147,7,0,2.5596,0.84277,-0.356,7
147,7,0.084961,2.5547,0.93945,-0.356,11
147,7,0,2.6338,0.80273,-0.356,10
147,7,0,2.7275,0.5498,-0.356,8
148,2,0,2.5625,0.92188,0.356,7
148,2,-1.0215,2.126,-1.3623,0.356,4
149,10,1.3623,0,-2.6162,0.356,8
149,10,1.4629,0,-2.4238,0.356,10
149,10,-0.2168,2.0801,0.98926,1.424,10
149,10,-0.21973,2.1201,0.97266,1.424,10
149,10,0,2.5771,0,-0.356,6
149,10,0,2.5986,0.2002,-0.356,10
149,10,0,2.6211,0.27539,-0.356,12
149,10,0,2.6416,0.35742,-0.356,10
149,10,-0.25488,2.6963,0.29297,0.356,6
149,10,-0.085938,2.7285,0.3584,0.356,10
150,9,-0.22754,2.3184,0.69531,1.424,11
150,9,-0.23047,2.3037,0.83105,1.424,16
150,9,-0.2334,2.3096,0.90039,1.424,17
150,9,-0.31445,2.3662,0.80469,1.424,13
150,9,-0.23926,2.3604,0.93066,1.424,7
150,9,-0.15234,2.2686,0.86035,1.78,15
150,9,-0.23047,2.2861,0.87891,1.78,19
150,9,-0.2334,2.3066,0.90723,1.78,19
150,9,-0.23633,2.3262,0.93652,1.78,13
151,15,-0.32227,2.3428,1.0244,0.71201,12
151,15,-0.16309,2.4375,0.9082,0.71201,22
151,15,-0.16504,2.4648,0.91895,0.71201,25
151,15,-0.25,2.4697,0.97168,0.71201,20
151,15,-0.33691,2.5234,0.88379,0.71201,10
151,15,-0.32227,2.373,0.9541,1.068,15
151,15,-0.24414,2.417,0.94434,1.068,26
151,15,-0.16504,2.4805,0.87695,1.068,31
151,15,-0.16699,2.4648,0.99902,1.068,25
151,15,-0.33691,2.4814,0.99512,1.068,13
151,15,-0.24121,2.4365,0.80566,1.424,7
151,15,-0.24414,2.4873,0.73926,1.424,11
151,15,-0.3291,2.3965,1.0479,1.424,11
151,15,-0.16699,2.5352,0.80469,1.424,9
151,15,-1.1279,1.4932,-1.7725,1.424,4
152,34,-0.24707,2.4492,0.94238,0,12
152,34,-0.25,2.4639,0.98535,0,20
152,34,-0.16797,2.4922,1.0107,0,23
152,34,-0.16992,2.5,1.0684,0,19
152,34,-0.25781,2.5391,1.0332,0,11
152,34,-0.69238,2.7588,-1.3838,0,7
152,34,-0.79785,2.6475,-1.5967,0,7
152,34,-0.70508,2.8096,-1.4092,0,6
152,34,-0.081055,2.4365,0.92188,0.356,10
152,34,-0.24707,2.4404,0.96582,0.356,24
152,34,-0.25,2.4463,1.0283,0.356,40
152,34,-0.16797,2.4961,1,0.356,46
152,34,-0.16992,2.5195,1.0215,0.356,38
152,34,-0.25781,2.5713,0.9502,0.356,21
152,34,-0.48926,2.5615,1.7373,0.356,10
152,34,-0.69238,2.7588,-1.3838,0.356,13
152,34,-0.79785,3.0908,0,0.356,13
152,34,-0.80566,3.1016,-0.33008,0.356,10
152,34,-0.91406,2.7764,1.4219,0.356,6
152,34,-0.24707,2.4492,0.94238,0.71201,13
152,34,-0.25,2.4785,0.94824,0.71201,22
152,34,-0.25293,2.5371,0.87207,0.71201,26
152,34,-0.25488,2.5654,0.87891,0.71201,24
152,34,-0.17188,2.6055,0.87305,0.71201,17
152,34,0,2.5313,1.0059,1.068,14
152,34,0,2.5264,1.0947,1.068,11
152,34,2.5703,1.2588,1.3477,0,6
152,34,1.4961,1.3652,-2.4678,0,5
152,34,0.60449,2.9248,1.208,0,4
152,34,2.5459,1.3721,1.2061,0.356,9
152,34,2.6689,0.89453,1.4434,0.356,12
152,34,2.6934,0.99219,1.3965,0.356,11
152,34,2.7188,1.1729,1.2705,0.356,8
152,34,2.7432,1.1709,1.2939,0.356,5
153,18,-0.16699,2.3574,1.2324,0,8
153,18,0,2.418,1.1895,0,12
153,18,0,2.4414,1.208,0,15
153,18,0,2.5527,1.0303,0,13
153,18,0,2.4922,1.2373,0,10
153,18,-0.24707,2.4209,1.0137,0.356,10
153,18,-0.16699,2.4473,1.042,0.356,21
153,18,-0.16797,2.4375,1.1357,0.356,29
153,18,-0.084961,2.4111,1.2637,0.356,32
153,18,-0.085938,2.4453,1.2617,0.356,27
