Frame #,# Obj,X,Y,Z,Doppler,Intensity
174,43,0,2.5586,0.3125,0,5
174,43,0.081055,2.5996,0.18066,0,16
174,43,0.16504,2.6299,0.084961,0,31
174,43,0.16699,2.6592,0.075195,0,41
174,43,0.16797,2.6885,0.066406,0,38
174,43,0.16992,2.7178,0.047852,0,23
174,43,0.17188,2.748,0.026367,0,9
174,43,0.35547,2.7998,-0.32813,0,7
174,43,0.26953,2.8516,-0.17969,0,7
174,43,0.16309,2.5938,0.19629,0.356,9
174,43,0.16504,2.6279,0.12695,0.356,18
174,43,0.16699,2.6553,0.16016,0.356,24
174,43,0.16797,2.6865,0.11719,0.356,22
174,43,0.16992,2.7178,0.045898,0.356,16
174,43,0.25781,2.7363,0.16113,0.356,11
174,43,0.17578,2.8057,-0.035156,0.356,15
174,43,0.2666,2.8271,-0.083984,0.356,20
174,43,0.3584,2.8447,-0.12695,0.356,20
174,43,0.27148,2.8838,-0.13281,0.356,14
174,43,0.24414,2.5947,-0.040039,-0.71201,14
174,43,0.16504,2.6299,-0.063477,-0.71201,27
174,43,0.16699,2.6592,-0.080078,-0.71201,35
174,43,0.25293,2.6797,-0.13574,-0.71201,32
174,43,0.25488,2.708,-0.14746,-0.71201,21
174,43,0.25781,2.7168,-0.36621,-0.71201,10
174,43,0.16113,2.5723,0.036133,-0.356,12
174,43,0.24414,2.5947,0.033203,-0.356,38
174,43,0.16504,2.6309,-0.0039063,-0.356,73
174,43,0.25,2.6533,-0.011719,-0.356,96
174,43,0.25293,2.6826,-0.038086,-0.356,89
174,43,0.25488,2.7109,-0.06543,-0.356,57
174,43,0.25781,2.7402,-0.070313,-0.356,27
174,43,0.17383,2.7686,-0.21094,-0.356,11
174,43,0.26367,2.7979,-0.10449,-0.356,9
174,43,0.2666,2.8057,-0.35645,-0.356,9
174,43,0.3584,2.8271,-0.34082,-0.356,8
174,43,2.1523,0,-3.1367,-0.356,5
174,43,2.0684,0,2.9707,-0.356,5
174,43,1.043,0.50391,3.1318,-0.356,4
174,43,0.44824,2.833,-0.11426,0,7
174,43,-0.20508,3.2295,-0.54004,-0.356,4
174,43,-0.41406,3.2734,-0.25781,-0.356,4
174,43,2.1914,0,-3.1299,-0.356,4
175,10,0.24414,2.5762,0.31641,0,6
175,10,0,2.5635,0.6123,0,7
175,10,0,2.502,0.91992,0,6
175,10,0.24414,2.582,0.26465,-0.356,9
175,10,0.3291,2.5996,0.28516,-0.356,11
175,10,0.41602,2.6289,0.14453,-0.356,10
175,10,2.3369,0,-2.9746,-0.356,7
175,10,2.2549,0,-3.2783,-0.356,7
175,10,-3.0479,1.1133,0.20215,-0.356,4
175,10,0.61523,2.3555,2.1982,-0.356,5
177,10,0.40723,2.5732,0.09375,0,6
177,10,0.3291,2.5996,0.28809,0,6
177,10,0.41602,2.6328,0.026367,0,6
177,10,0.40234,2.5439,0.097656,-0.356,7
177,10,0.40723,2.5664,0.20117,-0.356,11
177,10,0.49414,2.5889,0.064453,-0.356,13
177,10,0.41602,2.6328,0.013672,-0.356,10
177,10,0.17773,2.834,0.083984,-0.356,17
177,10,0.26953,2.8555,0.11719,-0.356,17
177,10,0.18164,2.8838,0.24805,-0.356,10
178,14,0.086914,2.7803,0.063477,0,8
178,14,0.26367,2.7988,-0.012695,0,12
178,14,0.2666,2.8281,0.043945,0,12
178,14,0.17969,2.8643,0.03418,0,9
178,14,0.17383,2.7764,0.035156,-0.71201,7
178,14,0.26367,2.7979,-0.094727,-0.71201,11
178,14,0.17773,2.835,0.010742,-0.71201,12
178,14,0.26953,2.8574,0.00097656,-0.71201,10
178,14,0.17188,2.7471,-0.0625,-0.356,8
178,14,0.17383,2.7764,-0.047852,-0.356,17
178,14,0.17578,2.8047,-0.083008,-0.356,25
