Frame #,# Obj,X,Y,Z,Doppler,Intensity
152,4,0,3.0527,0.37207,0,5
152,4,0.094727,3.0244,0.35059,-0.356,11
152,4,0.095703,3.0645,0.24414,-0.356,14
152,4,0,3.0898,0.30371,-0.356,12
153,10,0,3.0371,0.2373,0,5
153,10,0,3.0518,0.38281,0,5
153,10,0.094727,3.0127,0.11523,-0.71201,6
153,10,0,3.0439,0.098633,-0.71201,7
153,10,0,3.0703,0.17578,-0.71201,7
153,10,0.09375,2.9746,0.26563,-0.356,6
153,10,0,3.0049,0.26758,-0.356,10
153,10,0,3.0322,0.28906,-0.356,13
153,10,0.095703,3.0537,0.35352,-0.356,13
153,10,0.09668,3.0811,0.37012,-0.356,9
154,6,0.092773,2.9541,0.12988,0.356,5
154,6,0.18652,2.9697,0.26855,0.356,7
154,6,0,3.0146,0.11914,0.356,5
154,6,1.6699,0,2.9971,-1.068,2
154,6,1.7734,0,3.3154,-0.71201,4
154,6,0.37305,2.958,0.1875,-0.356,6
155,4,1.9824,0,-2.9736,0.356,4
155,4,1.8779,0.9834,-2.5801,-0.356,3
155,4,0.62598,2.7773,1.7451,0.356,3
155,4,-2.7129,1.4902,-1.252,-0.356,2
156,5,0.25488,2.7021,0.23145,2.492,7
156,5,0.17188,2.7266,0.34375,2.492,6
156,5,0.09375,2.9854,-0.045898,-0.356,7
156,5,0.18848,3.0059,0.17773,-0.356,8
156,5,0,3.0459,0,-0.356,6
157,23,0.18164,2.8545,0.47754,1.068,9
157,23,0.18262,2.8662,0.57324,1.068,10
157,23,0.092773,2.916,0.48828,1.068,7
157,23,1.8125,0,3.1807,1.068,9
157,23,1.9307,0,3.0479,1.068,14
157,23,2.0498,0,2.8145,1.068,15
157,23,1.9648,0.50684,2.6143,1.068,10
157,23,1.9824,0.82813,2.5557,1.068,5
157,23,1.9131,0,-3.1504,1.424,9
157,23,1.9307,0,-3.1953,1.424,13
157,23,1.9473,0,3.0752,1.424,14
157,23,1.8613,0,3.1543,1.424,9
157,23,1.7734,0,2.9229,1.424,4
157,23,1.7568,0,-2.5898,1.068,4
157,23,-1.6113,0.49316,-2.7461,1.068,6
157,23,-2.6416,1.8516,0.40625,1.068,9
157,23,-2.7676,1.6201,0.68945,1.068,10
157,23,-2.8955,0.91406,1.3154,1.068,7
157,23,-2.9219,0,2.5039,1.068,4
157,23,-1.5098,1.5898,-2.3604,1.424,5
157,23,-1.5244,1.8027,-2.2354,1.424,7
157,23,-2.793,1.3242,1.1836,1.424,6
157,23,-2.6084,1.9883,0.62598,1.424,3
187,5,0,2.9717,0.30566,-0.356,9
187,5,0.094727,3.0039,0.25879,-0.356,13
187,5,0,3.0391,0.20508,-0.356,13
187,5,0,3.0732,0.1084,-0.356,11
187,5,0,3.1035,0.089844,-0.356,8
188,7,0,2.96,0.58105,0,5
188,7,0,2.9492,0.76172,0,5
188,7,0,3.0127,-0.15039,-0.71201,6
188,7,0.092773,2.9277,0.41602,-0.356,8
188,7,0.09375,2.9736,0.27246,-0.356,12
188,7,0.094727,3.0137,0.10156,-0.356,11
188,7,0,3.0459,0.032227,-0.356,7
189,8,1.8613,0,-3.2969,0.356,5
189,8,1.8779,0,-3.3262,0.356,6
189,8,0.094727,2.999,0.30762,-0.356,5
189,8,0,3.0303,0.31152,-0.356,5
189,8,1.9824,0,-3.2061,-0.356,8
189,8,0.72363,2.585,1.9365,0.356,3
189,8,-1.0371,1.5322,-2.3828,-0.356,3
189,8,-1.1426,1.6602,-2.2842,-0.356,3
191,50,0,2.835,0.17871,0,7
191,50,0,2.8438,0.38672,0,9
191,50,0,2.8809,0.33105,0,8
191,50,0.091797,2.9219,0.18262,0,6
191,50,0,2.8018,0.23828,0.356,7
191,50,0.088867,2.8223,0.31543,0.356,13
191,50,0.089844,2.833,0.4502,0.356,16
191,50,0,2.8682,0.42773,0.356,13
191,50,0,2.8398,0.075195,0.71201,5
191,50,0,2.8418,0.4043,0.71201,6
191,50,0.09082,2.8174,0.67969,0.71201,6
191,50,1.9307,0,-3.25,0.71201,5
191,50,1.8447,0,3.2061,0.71201,4
191,50,0,2.8076,0.14746,1.068,6
191,50,0.17773,2.8154,0.33887,1.068,12
191,50,0.089844,2.8516,0.31348,1.068,15
191,50,0.18164,2.876,0.32422,1.068,13
191,50,0,2.9053,0.36816,1.068,7
191,50,1.8125,0,-2.8975,1.068,6
191,50,1.9307,0,-2.9746,1.068,7
191,50,1.9473,0,-3.2793,1.068,6
191,50,0.087891,2.8047,0.17578,1.424,6
191,50,0.17773,2.7939,0.48535,1.424,13
191,50,0.089844,2.8447,0.36914,1.424,16
191,50,0.18164,2.8545,0.47754,1.424,15
191,50,0.091797,2.8652,0.60254,1.424,8
191,50,1.8125,0,3.209,1.424,8
191,50,1.8291,0,-2.7305,1.424,7
191,50,1.8447,0,-3.0186,1.424,5
191,50,1.8125,1.1475,-2.4043,1.78,6
