Frame #,# Obj,X,Y,Z,Doppler,Intensity
128,6,0,2.957,0.84375,0,4
128,6,1.8779,0,-2.9219,0.356,4
128,6,0,3.0313,0.52148,-0.356,9
128,6,0.09668,3.0752,0.41699,-0.356,10
128,6,0.62598,3.2529,-0.41699,0.356,3
128,6,1.7295,0,-2.6904,-0.356,5
129,23,0.094727,3.0029,0.50195,0.356,7
129,23,0.28809,2.9814,0.69824,0.356,8
129,23,1.8613,0,3.2354,-1.78,5
129,23,1.8779,0,3.2637,-1.78,5
129,23,1.8447,0,-2.8701,-1.424,8
129,23,1.9648,0,-2.9072,-1.424,12
129,23,1.8779,0,-3.0098,-1.424,13
129,23,1.7432,0,-2.8691,-1.068,5
129,23,1.7578,0,-2.8096,-1.068,8
129,23,1.8779,0,-2.8291,-1.068,9
129,23,0.18652,2.9795,-0.12012,-0.356,6
129,23,0.094727,3.0146,-0.067383,-0.356,9
129,23,0.094727,3.0215,0.37109,-0.356,12
129,23,0.19238,3.0449,0.38477,-0.356,13
129,23,0.19434,3.0771,0.36719,-0.356,10
129,23,1.999,0,-2.6641,0.356,4
129,23,2.0186,0,-2.7441,0.356,5
129,23,0.10449,2.3486,2.3711,-1.78,3
129,23,0.10352,2.0801,2.5723,-1.424,7
129,23,0.10449,1.8711,2.7637,-1.424,8
129,23,3.0752,0.99609,0.55859,-1.068,3
129,23,0,1.7305,2.8213,-1.068,5
129,23,0.10449,2.2637,2.4521,-1.068,6
131,1,1.9824,0,3.2813,-0.356,5
132,20,0.34766,2.6113,0.89648,0.71201,10
132,20,0.35156,2.7168,0.63379,0.71201,9
132,20,0.43066,2.5967,0.80859,1.068,11
132,20,0.34766,2.6553,0.75684,1.068,13
132,20,0.43945,2.6455,0.8457,1.068,12
132,20,0.34375,2.3594,1.377,1.424,8
132,20,0.34766,2.6455,0.78809,1.424,9
132,20,0.35156,2.6992,0.70313,1.424,7
132,20,0.57129,1.1943,-2.7432,1.424,17
132,20,0.48047,1.332,-2.7295,1.424,20
132,20,0.48535,1.0156,-2.8936,1.424,16
132,20,0.47559,1.3975,-2.6641,1.78,11
132,20,0.48047,1.6221,-2.5684,1.78,13
132,20,0.48535,0.96484,-2.9102,1.78,10
132,20,1.8086,0,-2.666,1.424,14
132,20,1.9219,0,-2.6084,1.424,15
132,20,-2.4258,1.6865,0.95508,1.424,12
132,20,1.8086,0,-2.627,1.78,9
132,20,1.8262,0,-2.7129,1.78,9
132,20,-2.6191,1.5859,0.51172,1.78,7
133,19,0.17578,2.4443,1.3789,0.71201,6
133,19,0.35547,2.5156,1.2715,0.71201,18
133,19,0.26953,2.5566,1.2773,0.71201,30
133,19,0.3623,2.6328,1.1582,0.71201,34
133,19,0.27441,2.6982,1.1055,0.71201,26
133,19,0.27734,2.7393,1.0811,0.71201,14
133,19,0.26367,2.3994,1.4424,1.068,14
133,19,0.2666,2.4629,1.3916,1.068,38
133,19,0.26953,2.5195,1.3496,1.068,62
133,19,0.3623,2.5703,1.292,1.068,70
133,19,0.27441,2.6533,1.209,1.068,53
133,19,0.18457,2.7314,1.1191,1.068,26
133,19,0.35156,2.3779,1.458,1.424,8
133,19,0.2666,2.3643,1.5527,1.424,21
133,19,0.3584,2.4766,1.4063,1.424,35
133,19,0.27148,2.5439,1.3633,1.424,38
133,19,0.27441,2.5938,1.332,1.424,28
133,19,0.18457,2.6777,1.2432,1.424,13
133,19,1.9824,0,-2.9229,-0.356,5
134,31,0.095703,3.0498,0.38574,0,6
134,31,0.09668,3.0869,0.31738,0,8
134,31,1.9824,1.5127,-2.2197,0,5
