Frame #,# Obj,X,Y,Z,Doppler,Intensity
203,2,0,2.8555,-0.29395,0.356,5
203,2,0,2.8984,-0.077148,0.356,5
204,5,0,2.8408,0.039063,0.356,7
204,5,0,2.8643,-0.18066,0.356,8
204,5,0,2.8945,-0.16602,0.356,7
204,5,0.17773,2.8135,-0.35547,-0.356,7
204,5,0.089844,2.8584,-0.24414,-0.356,7
207,22,0,2.3174,0.3457,0,6
207,22,0,2.3467,0.35059,0,8
207,22,0,2.3848,0.28516,0,8
207,22,0,2.418,0.24902,0,6
207,22,0,2.8994,0,0,8
207,22,0,2.9219,0.19727,0,9
207,22,0,2.9404,0.31934,0,8
207,22,0,2.3105,0.38672,0.356,12
207,22,0,2.334,0.42383,0.356,17
207,22,0,2.3662,0.41309,0.356,17
207,22,0,2.4004,0.38672,0.356,13
207,22,0,2.8398,-0.069336,0.356,9
207,22,0,2.8701,0.053711,0.356,16
207,22,0,2.8965,0.13086,0.356,21
207,22,0,2.9209,0.21875,0.356,23
207,22,0,2.9502,0.21094,0.356,20
207,22,0,2.9551,0.44043,0.356,13
207,22,0,2.3604,0.24316,0.71201,7
207,22,0,2.3018,0.68457,0.71201,7
207,22,0,2.9219,0.2041,0.71201,9
207,22,0,2.8564,-0.2832,-0.356,7
207,22,0,2.8994,0,-0.356,7
208,24,0,2.9287,0,0,14
208,24,0,2.958,0.023438,0,17
208,24,0.09375,2.9854,-0.043945,0,15
208,24,0.14844,2.3516,0.27441,0.356,9
208,24,0.15039,2.3809,0.28027,0.356,10
208,24,0.22754,2.416,0.14258,0.356,8
208,24,0,2.8672,-0.12695,0.356,16
208,24,0,2.8975,0.11914,0.356,27
208,24,0,2.9277,0.097656,0.356,39
208,24,0,2.957,0.09375,0.356,41
208,24,0,2.9854,0.12305,0.356,33
208,24,0,3.0156,0.066406,0.356,18
208,24,0.14844,2.3066,0.5332,0.71201,10
208,24,0.2998,2.3301,0.49707,0.71201,11
208,24,0,2.8936,0.18262,0.71201,11
208,24,0,2.9209,0.21582,0.71201,18
208,24,0,2.9473,0.24805,0.71201,21
208,24,0.09375,2.9746,0.25977,0.71201,18
208,24,0,2.7656,-0.50684,-0.356,9
208,24,0,2.7861,-0.55762,-0.356,14
208,24,0,2.835,-0.45117,-0.356,15
208,24,0.09082,2.8809,-0.31738,-0.356,13
208,24,0,2.9287,0,-0.356,10
208,24,-0.52539,2.123,-0.99219,0.71201,6
209,47,0,2.8535,-0.30957,0,9
209,47,0.09082,2.8828,-0.29785,0,8
209,47,0,2.9258,-0.13184,0,7
209,47,0.092773,2.9512,0.18457,0,7
209,47,0,2.7363,-0.50195,0.356,9
209,47,0.087891,2.7793,-0.41602,0.356,12
209,47,0.088867,2.8018,-0.46289,0.356,13
209,47,0.089844,2.8389,-0.41113,0.356,12
