Frame #,# Obj,X,Y,Z,Doppler,Intensity
375,25,0,2.8975,0.10547,0,8
375,25,0,2.9287,0,0,14
375,25,0,2.958,-0.057617,0,18
375,25,0.09375,2.9854,-0.036133,0,17
375,25,0,3.0156,-0.095703,0,11
375,25,0,3.0449,0.083984,0,7
375,25,0,2.8994,0,0.356,6
375,25,0,2.9277,0.084961,0.356,12
375,25,0,2.957,0.087891,0.356,14
375,25,0,2.9863,-0.073242,0.356,13
375,25,0.18848,3.0088,-0.1123,0.356,13
375,25,0.094727,3.041,-0.14746,0.356,12
375,25,0.095703,3.0654,-0.22168,0.356,9
375,25,0.09082,2.8975,0.049805,-0.71201,7
375,25,0,2.9248,-0.1543,-0.71201,12
375,25,0.092773,2.9541,-0.13477,-0.71201,15
375,25,0,2.9824,-0.16602,-0.71201,13
375,25,0.18848,2.9941,-0.32031,-0.71201,8
375,25,0,2.8682,-0.10156,-0.356,7
375,25,0.09082,2.8984,-0.0029297,-0.356,21
375,25,0,2.9268,-0.10645,-0.356,36
375,25,0,2.957,-0.087891,-0.356,43
375,25,0.09375,2.9844,-0.099609,-0.356,37
375,25,0.094727,3.0107,-0.16699,-0.356,21
375,25,0,3.0156,-0.43262,-0.356,8
376,19,0,2.8701,0,0,8
376,19,0.09082,2.8965,0.11133,0,19
376,19,0.091797,2.9268,0.040039,0,26
376,19,0.092773,2.9561,0.067383,0,24
376,19,0.09375,2.9854,0.078125,0,16
376,19,0,2.9238,0.16797,0.356,7
376,19,0,2.957,0.072266,0.356,9
376,19,0,2.9785,0.2334,0.356,8
376,19,0,2.8701,0,-0.71201,7
376,19,0.09082,2.8936,-0.17188,-0.71201,15
376,19,0.091797,2.9248,-0.11719,-0.71201,22
376,19,0,2.9541,-0.15723,-0.71201,21
376,19,0,2.9834,-0.14844,-0.71201,14
376,19,0,2.8701,0,-0.356,16
376,19,0,2.8994,0.036133,-0.356,36
376,19,0.091797,2.9277,-0.024414,-0.356,52
376,19,0.092773,2.9561,-0.048828,-0.356,52
376,19,0,2.9863,-0.083008,-0.356,35
376,19,0,3.0117,-0.17285,-0.356,15
377,16,0,2.834,0.19727,0,9
377,16,0,2.8682,0.12012,0,17
377,16,0,2.8984,0.083984,0,22
377,16,0,2.9277,0.083008,0,21
377,16,0.092773,2.9551,0.083008,0,14
377,16,0,3.0879,-0.31836,0.356,7
377,16,0,3.1299,-0.16504,0.356,7
377,16,0,2.8398,-0.077148,-0.71201,9
377,16,0.089844,2.8652,-0.15137,-0.71201,18
377,16,0,2.8965,-0.1377,-0.71201,21
377,16,0,2.9199,-0.22461,-0.71201,16
377,16,0,2.8408,0.042969,-0.356,16
377,16,0,2.8701,0.010742,-0.356,31
377,16,0,2.8994,-0.023438,-0.356,40
377,16,0.091797,2.9268,-0.0625,-0.356,36
377,16,0.092773,2.9551,-0.09375,-0.356,22
378,21,0,3.1045,0,0.71201,6
378,21,0.19629,3.125,0.12598,0.71201,9
378,21,0.098633,3.1611,0.016602,0.71201,9
378,21,0.099609,3.1885,-0.12695,0.71201,6
378,21,0,2.7744,-0.2168,-1.068,6
378,21,0.087891,2.8096,-0.046875,-1.068,13
378,21,0.088867,2.8359,-0.15332,-1.068,17
378,21,0,2.8691,-0.095703,-1.068,16
378,21,0,2.8994,-0.061523,-1.068,11
378,21,0.086914,2.7813,0.027344,-0.71201,14
378,21,0.087891,2.8096,0.054688,-0.71201,29
378,21,0.088867,2.8398,-0.012695,-0.71201,41
378,21,0.17969,2.8643,0,-0.71201,40
378,21,0.09082,2.8984,-0.0087891,-0.71201,28
378,21,0.091797,2.9268,0.055664,-0.71201,14
378,21,0,2.7822,0,-0.356,7
378,21,0,2.8105,0.068359,-0.356,16
378,21,0.088867,2.8398,0.024414,-0.356,24
378,21,0.089844,2.8682,0.077148,-0.356,25
378,21,0.09082,2.8975,0.071289,-0.356,18
378,21,0,2.9287,0.060547,-0.356,10
379,13,0,2.7217,0.10742,-1.424,8
379,13,0.085938,2.752,-0.0097656,-1.424,14
379,13,0.17383,2.7764,-0.033203,-1.424,18
379,13,0.17578,2.8066,-0.010742,-1.424,17
379,13,0.17773,2.835,0.064453,-1.424,11
379,13,0.16992,2.7158,0.125,-1.068,11
379,13,0.17188,2.7461,0.10645,-1.068,19
379,13,0.17383,2.7744,0.125,-1.068,24
379,13,0.17578,2.8027,0.13184,-1.068,22
379,13,0.088867,2.8379,0.083984,-1.068,14
379,13,0.085938,2.748,0.15137,-0.71201,9
379,13,0.17383,2.7754,0.092773,-0.71201,11
379,13,0,2.8096,0.10156,-0.71201,9
380,4,0.28516,3.0215,-0.26465,0.356,7
380,4,0.28809,3.0605,-0.070313,0.356,8
380,4,0.19238,3.0381,-0.43848,-0.356,7
380,4,0.19434,3.0557,-0.51074,-0.356,6
434,10,0,2.8994,0,0.356,6
434,10,0,2.9268,0.10645,0.356,11
434,10,0,2.958,-0.010742,0.356,14
434,10,0,2.9873,-0.039063,0.356,13
434,10,0,3.0166,0,0.356,8
434,10,0,2.8848,-0.29688,-0.356,8
434,10,0,2.9229,-0.18359,-0.356,16
434,10,0.092773,2.9473,-0.24219,-0.356,20
434,10,0.09375,2.9795,-0.19531,-0.356,18
434,10,0,3.0146,-0.10254,-0.356,11
435,23,0,2.8994,-0.061523,0,10
