Frame #,# Obj,X,Y,Z,Doppler,Intensity
133,4,0,2.8975,-1.0293,-0.356,5
133,4,0,2.9326,-1.0186,-0.356,8
133,4,0,2.9414,-1.0811,-0.356,9
133,4,0,2.9551,-1.1289,-0.356,8
134,17,0,3.124,-0.24414,0,6
134,17,0,3.1445,-0.3418,0,8
134,17,0,3.1328,-0.61523,0,7
134,17,0,3.0273,-0.69043,0.356,9
134,17,0,3.0918,-0.5127,0.356,12
134,17,0,3.0625,-0.79102,0.356,11
134,17,0,3.1113,-0.71582,0.356,8
134,17,0,2.9141,-0.98242,-0.71201,9
134,17,0,2.9365,-1.0078,-0.71201,12
134,17,0,2.9697,-1.002,-0.71201,13
134,17,0,2.9873,-1.041,-0.71201,11
134,17,-0.094727,3.0029,-0.50195,-0.356,7
134,17,0,3.0332,-0.50781,-0.356,8
134,17,0,3.0693,-0.46387,-0.356,12
134,17,0,3.0781,-0.59082,-0.356,19
134,17,0,3.0947,-0.6543,-0.356,22
134,17,0,3.1035,-0.74609,-0.356,18
135,23,0,2.8867,-0.97363,0,5
135,23,0,2.9199,-0.96582,0,11
135,23,0,2.9678,-0.91211,0,16
135,23,0,2.9883,-0.94531,0,17
135,23,0,3.0283,-0.91211,0,13
135,23,0,2.8223,-0.97949,-1.424,6
135,23,0,2.7813,-1.1689,-1.424,7
135,23,0,2.8037,-1.1904,-1.424,7
135,23,0,2.7822,-0.91602,-1.068,7
135,23,0,2.7813,-1.0088,-1.068,12
135,23,0,2.8047,-1.0273,-1.068,17
135,23,0,2.8047,-1.1123,-1.068,19
135,23,0,2.8408,-1.0996,-1.068,17
135,23,0,2.8516,-1.1514,-1.068,12
135,23,0,2.915,-1.0684,-1.068,8
135,23,0,2.8574,-0.76758,-0.71201,9
135,23,0,2.8311,-0.95313,-0.71201,12
135,23,0,2.8779,-0.9043,-0.71201,11
135,23,0,2.9102,-0.89941,-0.356,11
135,23,0,2.9268,-0.94531,-0.356,23
135,23,0,2.9414,-0.99414,-0.356,31
135,23,0.097656,2.9824,-0.95605,-0.356,31
135,23,0,2.9766,-1.0713,-0.356,21
136,11,0,3.0439,-0.61328,0,6
136,11,0,3.0723,-0.61914,0,6
