Frame #,# Obj,X,Y,Z,Doppler,Intensity
714,2,0.26074,2.7695,-0.063477,-0.356,6
714,2,0.17578,2.7998,-0.1875,-0.356,6
715,11,0.17188,2.7432,0.15234,0,4
715,11,0.26074,2.7705,-0.014648,0,6
715,11,0.26367,2.7959,-0.14648,0,6
715,11,0.088867,2.834,0.17773,0,5
715,11,0.26074,2.7676,0.11133,-0.71201,6
715,11,0.17578,2.8057,-0.027344,-0.71201,6
715,11,0.16992,2.7188,0.010742,-0.356,6
715,11,0.17188,2.7461,-0.10059,-0.356,7
715,11,0.26074,2.7695,-0.038086,-0.356,10
715,11,0.26367,2.7959,-0.13281,-0.356,11
715,11,0.2666,2.8232,-0.17773,-0.356,9
716,1,0.16797,2.6895,-0.042969,-0.71201,6
717,8,0,2.6621,0.12012,0,5
717,8,0,2.6943,0,0,7
717,8,0,2.7207,-0.12305,0,6
717,8,0,2.6064,0,-0.356,6
717,8,0.082031,2.6338,-0.077148,-0.356,8
717,8,0.083008,2.6611,-0.13281,-0.356,10
717,8,0,2.6934,-0.078125,-0.356,12
717,8,0,2.7227,-0.072266,-0.356,11
718,21,0,3.1045,-0.057617,0,7
718,21,0,3.1299,-0.16504,0,12
718,21,0,3.1523,-0.26367,0,13
718,21,0,3.1826,-0.24902,0,11
718,21,0,3.21,-0.27344,0,8
718,21,0,3.0752,0,0.356,12
718,21,0,3.1045,-0.021484,0.356,23
718,21,0,3.1328,-0.09668,0.356,32
718,21,0,3.1592,-0.15137,0.356,33
718,21,0,3.1865,-0.19727,0.356,28
718,21,0,3.208,-0.30176,0.356,19
718,21,0,3.0996,0.18066,0.71201,11
718,21,0,3.1328,0.0625,0.71201,16
718,21,0,3.1631,0.043945,0.71201,17
718,21,0,3.1924,0.025391,0.71201,15
718,21,0,3.2168,-0.18262,0.71201,10
718,21,0,3.248,-0.14648,0.71201,6
718,21,0,3.0488,-0.40137,-0.356,6
718,21,0,3.084,-0.35449,-0.356,9
718,21,0.097656,3.0869,-0.53223,-0.356,10
718,21,0,3.1309,-0.45313,-0.356,8
719,18,0.09668,3.0918,-0.26367,0,5
719,18,0,3.1299,-0.16504,0,6
719,18,0.098633,3.1523,-0.24805,0,6
719,18,0.099609,3.1797,-0.27148,0,6
719,18,0.09668,3.0967,-0.19238,0.356,11
719,18,0,3.2197,0.11328,0.71201,9
719,18,0,3.249,-0.11426,0.71201,9
719,18,0,3.2188,-0.14551,1.068,5
719,18,-0.20313,3.2344,0.25977,1.068,7
719,18,0,3.2754,-0.17285,1.068,6
719,18,0,3.251,-0.61914,1.068,3
719,18,0.095703,3.0576,-0.31055,-0.356,12
719,18,0.19434,3.0879,-0.25098,-0.356,19
719,18,0.19629,3.0967,-0.4375,-0.356,19
719,18,0.098633,3.1357,-0.40527,-0.356,13
719,18,-1.3086,0,3.0205,0.71201,6
719,18,-1.3203,0.85938,2.8438,0.71201,5
719,18,-3.1025,1.0752,0.41406,1.068,2
720,12,0.10059,3.2178,-0.12891,0,5
720,12,-0.51074,2.6738,-0.082031,0.356,6
720,12,-0.5166,2.7021,0.10352,0.356,8
720,12,-0.43457,2.7383,-0.23828,0.356,8
720,12,-0.52734,2.7393,-0.35156,0.356,5
720,12,-0.42578,2.6689,0.33984,0.71201,6
720,12,-0.5166,2.7021,0.10059,0.71201,7
720,12,-0.43457,2.748,0.061523,0.71201,7
720,12,0.19922,2.9531,-1.1973,-0.356,7
720,12,0.30176,3.0879,-0.86914,-0.356,9
720,12,0.50781,3.0566,-0.98438,-0.356,9
720,12,-0.10059,3.2012,-0.34668,0,5
721,13,0,3.0703,-0.17578,0.356,7
721,13,0,3.0986,-0.19531,0.356,10
721,13,0.097656,3.1025,-0.43457,0.356,10
721,13,0.098633,3.127,-0.46777,0.356,8
721,13,0.29883,3.124,-0.58594,0.356,8
721,13,0.40234,3.1465,-0.56055,0.356,8
721,13,0.40625,3.1436,-0.72266,0.356,7
721,13,0,3.0791,-0.40039,-0.356,8
721,13,0.19629,3.082,-0.5332,-0.356,9
721,13,0.19727,3.0547,-0.79688,-0.356,10
721,13,0.39941,3.0742,-0.76465,-0.356,13
