Frame #,# Obj,X,Y,Z,Doppler,Intensity
198,24,0,3.1885,-0.16211,0,8
198,24,0,3.2188,-0.12988,0,10
198,24,0,3.2471,-0.16211,0,9
198,24,0,3.2803,0,0,6
198,24,0,3.1338,0.058594,0.356,10
198,24,0,3.1621,0.095703,0.356,17
198,24,0,3.1924,0.035156,0.356,24
198,24,0,3.2217,0.055664,0.356,26
198,24,0,3.251,0.033203,0.356,22
198,24,0,3.2783,0.10156,0.356,14
198,24,0,3.3096,0,0.356,6
198,24,0,3.3027,-0.49316,0.356,4
198,24,0,3.1875,0.18652,0.71201,8
198,24,0,3.2217,0,0.71201,9
198,24,0,3.25,0.071289,0.71201,8
198,24,0,3.2754,-0.1875,0.71201,5
198,24,0,2.9873,0.052734,-0.356,10
198,24,0,3.0166,0.045898,-0.356,12
198,24,0,3.0449,-0.09668,-0.356,11
198,24,0,3.1621,-0.077148,-0.356,9
198,24,0,3.1924,0.048828,-0.356,11
198,24,0,3.2197,-0.125,-0.356,10
198,24,0,3.251,-0.044922,-0.356,7
198,24,0,3.2314,-0.56445,-0.356,4
200,41,0,2.957,0.078125,0,5
200,41,0,2.9873,0,0,10
200,41,0,3.0166,0,0,14
200,41,0,3.0449,-0.068359,0,14
200,41,0,3.0732,-0.12207,0,10
200,41,0,3.1924,0,0,8
200,41,0,3.2188,-0.14551,0,10
200,41,0,3.251,0,0,10
200,41,0,3.2803,0,0,8
200,41,0,3.3096,0,0,4
200,41,0,2.9551,0.13379,0.356,9
200,41,0,2.9873,0.061523,0.356,20
200,41,0,3.0166,0.061523,0.356,28
200,41,0,3.0459,0,0.356,28
200,41,0,3.0752,-0.0097656,0.356,20
200,41,0,3.1045,0.054688,0.356,10
200,41,0,2.9795,0.21582,0.71201,9
200,41,0,3.0039,0.27734,0.71201,13
200,41,0,3.0371,0.2373,0.71201,12
200,41,0,3.0723,0.13184,0.71201,9
200,41,0,2.9717,0.30566,-1.424,6
200,41,0,3.0146,-0.10645,-1.424,9
200,41,0,3.0381,0.22266,-1.424,9
200,41,0,3.0752,0,-1.424,6
200,41,0,2.9658,0.35645,-1.068,8
200,41,0,3.0156,0.066406,-1.068,11
200,41,0,3.0439,0.10352,-1.068,11
200,41,0,3.0723,-0.13867,-1.068,7
200,41,0,3.0156,0.073242,-0.71201,6
