Frame #,# Obj,X,Y,Z,Doppler,Intensity
238,2,0,3.1758,-0.32715,0.356,6
238,2,0,3.3389,0,0.356,3
239,28,-0.49902,3.1465,-0.19922,0,6
239,28,-0.20117,3.2109,-0.16797,0,18
239,28,-0.20313,3.2373,-0.21289,0,32
239,28,-0.20508,3.2666,-0.21582,0,39
239,28,-0.20703,3.2939,-0.25195,0,33
239,28,-0.10449,3.3291,-0.23828,0,20
239,28,0,3.1602,0.14258,0.356,7
239,28,0,3.1924,0,0.356,8
239,28,-0.20508,3.2373,0.49023,0.356,5
239,28,0,3.2041,0.82715,0.356,4
239,28,0,3.1572,-0.4707,-1.424,5
239,28,0,3.0566,-0.81543,-1.068,11
239,28,-0.19922,3.127,-0.61328,-1.068,13
239,28,-0.10059,3.1602,-0.61621,-1.068,11
239,28,0,3.1934,-0.6084,-1.068,6
239,28,-0.29688,3.0566,-0.75977,-0.71201,7
239,28,0,3.1865,-0.47559,-0.71201,12
239,28,-0.10156,3.2129,-0.48535,-0.71201,26
239,28,-0.10254,3.2461,-0.46289,-0.71201,35
239,28,-0.10352,3.2666,-0.52051,-0.71201,32
239,28,-0.10449,3.3027,-0.47754,-0.71201,19
239,28,0,3.1572,-0.18652,-0.356,7
239,28,0,3.1855,-0.20801,-0.356,16
239,28,-0.10059,3.207,-0.2959,-0.356,34
239,28,-0.20313,3.2236,-0.36914,-0.356,57
239,28,-0.10254,3.2578,-0.36719,-0.356,70
239,28,-0.10352,3.2861,-0.38086,-0.356,60
239,28,-0.20898,3.3086,-0.39453,-0.356,35
240,31,0,3.1865,-0.64551,0,8
240,31,-0.10254,3.2178,-0.62891,0,17
240,31,0,3.2656,-0.53613,0,22
240,31,0,3.2861,-0.58984,0,21
240,31,0,3.1572,-0.4707,0.356,6
240,31,0,3.2051,-0.33008,0.356,10
240,31,0,3.2266,-0.39941,0.356,21
240,31,0,3.2549,-0.40527,0.356,39
240,31,0,3.2832,-0.41504,0.356,53
240,31,0,3.3174,-0.37891,0.356,52
240,31,0,3.2295,-0.37109,0.71201,9
240,31,0,3.2559,-0.40332,0.71201,18
240,31,0,3.2969,-0.2959,0.71201,25
240,31,0,3.332,-0.21777,0.71201,26
240,31,0,2.8926,-0.74707,-2.848,6
240,31,0,2.9131,-0.78516,-2.848,7
240,31,0,2.873,-0.82031,-2.492,7
240,31,-0.094727,2.9434,-0.65625,-2.492,9
240,31,-0.19043,3.001,-0.48828,-2.492,7
240,31,-0.30176,3.1826,-0.40137,-1.068,5
240,31,0,3.2021,-0.55957,-1.068,4
240,31,-0.19727,3.1162,-0.50684,-0.71201,7
240,31,-0.29883,3.1631,-0.31348,-0.71201,11
240,31,-0.20117,3.207,-0.2334,-0.71201,12
240,31,0,3.2637,-0.54688,-0.71201,8
240,31,0,3.3125,-0.41992,-0.71201,7
240,31,-0.39941,3.1641,-0.14453,-0.356,7
240,31,0.10156,3.1836,-0.65332,-0.356,11
240,31,0,3.252,-0.43066,-0.356,21
240,31,0,3.2979,-0.28027,-0.356,23
240,31,0,3.332,-0.21777,-0.356,18
241,15,0,3.1914,0.078125,0,9
241,15,0,3.2217,0.056641,0,8
241,15,0,3.251,0,0,5
241,15,0,3.2627,-0.33594,0,4
241,15,0,3.1553,0.48535,0.356,7
241,15,0,3.2051,0.33008,0.356,9
241,15,0,3.2305,0.36523,0.356,10
241,15,0,3.2764,0.16113,0.356,8
241,15,0,3.3096,0,0.356,6
241,15,0,3.3027,-0.49316,0.356,3
241,15,0,3.1846,-0.22852,-0.71201,10
241,15,0,3.2158,-0.20215,-0.71201,8
241,15,0,3.1816,-0.25977,-0.356,11
241,15,0.10352,3.3057,-0.13184,-0.356,5
241,15,0,3.3379,-0.082031,-0.356,4
242,25,-0.20117,3.2148,0.073242,0,5
242,25,0,3.25,0.085938,0,5
242,25,0,3.0439,0.12012,1.424,7
242,25,0,2.9424,0.30273,2.848,6
242,25,0,2.9814,0.1875,2.848,10
242,25,0,3.0049,0.27246,2.848,12
242,25,0,3.0303,0.31152,2.848,9
242,25,0,2.9316,0.3916,3.204,11
242,25,0,2.9736,0.29102,3.204,20
242,25,0,3.0039,0.28027,3.204,25
242,25,0,3.0332,0.27539,3.204,21
242,25,0,3.0596,0.30957,3.204,12
242,25,0,2.9385,0.3418,3.56,9
242,25,0,2.9648,0.36816,3.56,18
242,25,0,3.0068,0.24512,3.56,24
242,25,0,3.0303,0.31348,3.56,22
242,25,0,3.0557,0.3457,3.56,14
242,25,0,2.9346,0.55957,3.916,8
