Frame #,# Obj,X,Y,Z,Doppler,Intensity
123,3,0.20508,3.1172,-1.002,-0.356,4
123,3,0.31055,3.1689,-0.90332,-0.356,4
123,3,0.20898,3.0879,-1.252,-0.356,3
125,3,0.10254,3.2207,-0.61523,0.356,3
125,3,0.31055,3.2207,-0.69531,0.356,4
125,3,0.31348,3.2783,-0.55078,0.356,3
126,5,0,3.1924,0,0.356,7
126,5,0,3.2188,0.14551,0.356,7
126,5,0.10449,3.3252,-0.28418,0.356,4
126,5,0,3.2217,0,-0.356,6
126,5,0,3.3213,-0.3418,-0.356,3
127,36,0,3.2207,0.088867,0,7
127,36,0,3.251,0.052734,0,11
127,36,0,3.2715,-0.23633,0,13
127,36,0.10352,3.2813,-0.41895,0,12
127,36,0.10449,3.3096,-0.42871,0,11
127,36,0,2.7227,0.095703,0.356,6
127,36,0,3.1602,-0.14258,0.356,9
127,36,0,3.1924,0.021484,0.356,15
127,36,0,3.2139,0.21973,0.356,21
127,36,-0.10156,3.2314,0.34082,0.356,25
127,36,0,3.2715,0.24512,0.356,21
127,36,0.20703,3.2852,-0.34375,0.356,19
127,36,0.20898,3.2969,-0.48242,0.356,21
127,36,0,2.5957,0.45898,0.71201,10
127,36,0,2.6338,0.4082,0.71201,16
127,36,-0.083984,2.6709,0.34863,0.71201,20
127,36,-0.084961,2.708,0.27734,0.71201,19
127,36,0,2.7354,0.30957,0.71201,13
127,36,0,2.7676,0.28516,0.71201,7
127,36,-0.10059,3.2109,0.23926,0.71201,7
127,36,-0.10156,3.21,0.50488,0.71201,9
127,36,0,3.2686,0.27832,0.71201,8
127,36,0,3.3096,-0.058594,0.71201,7
127,36,0.10449,3.3037,-0.47559,0.71201,7
127,36,0,2.5391,0.58789,1.068,6
127,36,-0.16504,2.5928,0.44824,1.068,10
127,36,-0.16699,2.6152,0.48535,1.068,14
127,36,-0.16797,2.6445,0.49121,1.068,16
127,36,-0.084961,2.6973,0.36719,1.068,14
127,36,0,2.7344,0.31738,1.068,9
127,36,0,3.124,-0.24414,-0.356,6
