Frame #,# Obj,X,Y,Z,Doppler,Intensity
195,8,0,3.1807,-0.27051,0.356,5
195,8,0,3.2207,0.084961,0.356,6
195,8,0,3.2344,-0.33301,0.356,4
195,8,0,3.0127,-0.44922,-0.356,6
195,8,0,2.9775,-0.76855,-0.356,7
195,8,0,3.1885,0.16797,-0.356,6
195,8,0,3.2217,0,-0.356,7
195,8,0,3.25,0.079102,-0.356,6
196,7,0,3.1338,0,0.356,7
196,7,0,3.1436,-0.35547,0.356,6
196,7,0,3.1572,-0.4707,0.356,5
196,7,0,3.0898,-0.30566,-0.356,7
196,7,0,3.1133,-0.35449,-0.356,9
196,7,0,3.1406,-0.37598,-0.356,8
196,7,0,3.1758,-0.32715,-0.356,7
203,2,0,2.9326,-1.1045,-0.356,5
203,2,0,3.0625,-0.79102,-0.356,5
204,11,0,3.042,-0.4541,0.356,6
204,11,0,3.0938,-0.2627,0.356,8
204,11,0,3.1221,-0.26953,0.356,9
204,11,0,3.1465,-0.32422,0.356,9
204,11,0,3.1836,-0.23438,0.356,8
204,11,0,3.2217,0.060547,0.356,5
204,11,0,3.0293,-0.67773,-0.356,11
204,11,0,3.0762,-0.59863,-0.356,13
204,11,-0.19727,3.0576,-0.78516,-0.356,13
204,11,-0.099609,3.1357,-0.59277,-0.356,11
204,11,0,3.2051,-0.33008,-0.356,6
205,12,0,3.1318,-0.11035,0.356,10
205,12,0,3.1523,-0.26367,0.356,11
205,12,-0.19922,3.1836,-0.12891,0.356,10
205,12,0,3.2207,-0.070313,0.356,8
205,12,0,3.2451,0.2041,0.356,5
205,12,0,3.1289,-0.4668,-0.71201,5
205,12,-0.19434,3.043,-0.58301,-0.356,11
205,12,-0.29395,3.0791,-0.50488,-0.356,15
205,12,-0.29688,3.0928,-0.59277,-0.356,17
205,12,-0.19922,3.1328,-0.58203,-0.356,15
205,12,-0.10059,3.1758,-0.53125,-0.356,10
205,12,-0.10156,3.1768,-0.68262,-0.356,6
206,31,-0.28809,3.0254,-0.46875,0,7
206,31,-0.29102,3.082,-0.2373,0,12
206,31,-0.19629,3.1133,-0.30273,0,16
206,31,-0.29688,3.1387,-0.25488,0,16
206,31,-0.19922,3.1689,-0.33594,0,15
206,31,-0.20117,3.1992,-0.3252,0,11
206,31,-0.30469,3.2139,-0.38281,0,6
206,31,0,3.0752,0,0.356,10
206,31,-0.29102,3.0908,0.0029297,0.356,17
206,31,-0.19629,3.1279,-0.024414,0.356,21
206,31,-0.19727,3.1553,-0.098633,0.356,19
206,31,-0.29883,3.166,-0.28418,0.356,11
206,31,-0.40234,3.1748,-0.37207,0.356,6
206,31,0,3.1934,-0.6084,0.356,6
206,31,0,3.2227,-0.61426,0.356,4
206,31,-0.28809,3.0479,-0.29492,-0.71201,8
206,31,-0.19434,3.0635,-0.46387,-0.71201,13
206,31,-0.19629,3.0908,-0.47754,-0.71201,16
206,31,-0.29688,3.0977,-0.56934,-0.71201,15
206,31,-0.29883,3.1211,-0.59863,-0.71201,13
206,31,-0.20117,3.1611,-0.58691,-0.71201,9
206,31,-0.30469,3.1787,-0.60938,-0.71201,5
206,31,-0.28516,3.002,-0.43066,-0.356,10
206,31,-0.19238,3.042,-0.4082,-0.356,23
206,31,-0.19434,3.0801,-0.33594,-0.356,38
206,31,-0.19629,3.1104,-0.33008,-0.356,47
206,31,-0.19727,3.1367,-0.3584,-0.356,45
