Frame #,# Obj,X,Y,Z,Doppler,Intensity
183,8,-0.094727,2.9961,-0.54199,0.356,9
183,8,0,3.0625,-0.28418,0.356,11
183,8,0,3.0967,-0.21582,0.356,10
183,8,0,3.0869,-0.53906,0.356,7
183,8,0,2.9629,-0.70801,-0.356,10
183,8,0,3.0293,-0.5293,-0.356,13
183,8,0,3.0576,-0.54004,-0.356,12
183,8,0,3.1113,-0.37207,-0.356,8
184,7,-0.094727,3.0264,-0.32813,0.356,9
184,7,0,3.0547,-0.35938,0.356,10
184,7,0,3.0732,-0.44043,0.356,7
184,7,0,2.9541,-0.74414,-0.356,9
184,7,0,3.0117,-0.62207,-0.356,11
184,7,0,3.0703,-0.45801,-0.356,8
184,7,-0.19238,3.0508,-0.33984,0.356,10
185,1,0,3.0596,-0.31543,-0.356,6
192,12,-0.24121,2.5645,-0.10254,0.356,7
192,12,0,2.6631,0.10547,0.356,8
192,12,0,2.6904,0.1543,0.356,7
192,12,0,3.1611,-0.11133,0.356,7
192,12,0,3.1924,-0.043945,0.356,7
192,12,0,3.2178,-0.16895,0.356,6
192,12,0,3.2344,0.33301,0.356,4
192,12,0,3.1465,-0.32422,-0.356,6
192,12,0,3.1572,-0.4707,-0.356,8
192,12,0,3.2119,-0.25098,-0.356,8
192,12,0,3.25,-0.079102,-0.356,6
192,12,0,3.2441,-0.48438,-0.356,3
194,21,0,3.2217,0,0.356,5
194,21,0,3.251,0,0.356,4
194,21,-0.17578,2.8057,0.024414,0.71201,11
194,21,0,2.8369,-0.14941,0.71201,13
194,21,0,2.8652,-0.16699,0.71201,11
194,21,0,2.7803,-0.097656,1.068,9
194,21,0,2.8115,0,1.068,15
194,21,0,2.8408,0,1.068,17
194,21,-0.089844,2.8682,-0.054688,1.068,15
194,21,0,2.8936,-0.18262,1.068,8
194,21,0,2.752,-0.076172,1.424,6
194,21,0,2.7803,-0.11035,1.424,11
194,21,0,2.8115,-0.033203,1.424,12
194,21,0,2.832,-0.22168,1.424,9
194,21,0,2.7822,0,1.78,6
194,21,0,2.8086,-0.12695,1.78,7
194,21,0,3.0625,-0.28223,-0.356,8
194,21,0,3.1025,-0.12305,-0.356,7
194,21,0,3.1533,-0.66016,-0.356,7
194,21,0,3.2461,-0.1709,-0.356,6
194,21,0,3.2441,-0.48438,-0.356,4
195,40,-0.2666,2.8184,-0.24219,0,6
195,40,-0.26953,2.8506,-0.19824,0,19
195,40,-0.18164,2.8867,-0.20605,0,37
195,40,-0.18262,2.915,-0.21191,0,48
195,40,-0.18457,2.9395,-0.28027,0,44
195,40,-0.28027,2.96,-0.29102,0,26
195,40,-0.2832,2.9873,-0.31348,0,11
195,40,-0.2666,2.8262,-0.11914,0.356,12
195,40,-0.26953,2.8564,-0.097656,0.356,38
195,40,-0.18164,2.8906,-0.14063,0.356,76
195,40,-0.18262,2.9189,-0.15625,0.356,99
195,40,-0.18457,2.9482,-0.16016,0.356,90
195,40,-0.18652,2.9775,-0.1582,0.356,57
195,40,-0.18848,3.0068,-0.1582,0.356,24
195,40,-0.26953,2.8574,-0.055664,0.71201,21
195,40,-0.27148,2.8857,-0.06543,0.71201,39
195,40,-0.27441,2.915,-0.057617,0.71201,50
195,40,-0.27734,2.9443,-0.051758,0.71201,43
195,40,-0.37305,2.9629,-0.063477,0.71201,24
195,40,0,2.8691,-0.089844,1.068,15
195,40,0,2.8984,-0.072266,1.068,38
195,40,0,2.9277,-0.091797,1.068,61
195,40,0.092773,2.9551,-0.089844,1.068,68
195,40,0,2.9863,-0.084961,1.068,56
195,40,0,3.0146,-0.11914,1.068,33
195,40,0,3.0449,-0.071289,1.068,13
195,40,0,2.8701,0,1.424,13
195,40,0,2.8984,0.067383,1.424,31
195,40,0,2.9287,0.039063,1.424,51
195,40,0,2.958,0.013672,1.424,57
195,40,0,2.9873,0.030273,1.424,46
195,40,0,3.0166,0.017578,1.424,27
195,40,0,3.0449,-0.066406,1.424,11
195,40,0,2.8984,0.073242,1.78,13
195,40,0,2.9287,-0.042969,1.78,19
195,40,0,2.958,0.0068359,1.78,19
195,40,0,2.9873,0.029297,1.78,13
195,40,0,2.8994,0,-0.356,7
195,40,-0.18262,2.918,-0.18164,-0.356,10
195,40,-0.37012,2.9131,-0.3584,-0.356,8
196,26,-0.27441,2.9092,-0.19922,0,9
196,26,-0.27734,2.9414,-0.14844,0,12
196,26,-0.28027,2.9609,-0.28418,0,11
196,26,0,3.0166,0,0,6
196,26,-0.27148,2.8867,0.049805,0.356,10
196,26,-0.18262,2.9219,-0.069336,0.356,20
196,26,-0.18457,2.9502,-0.10254,0.356,27
196,26,-0.28027,2.9717,-0.11914,0.356,23
196,26,-0.2832,3,-0.14648,0.356,12
196,26,-0.27441,2.916,-0.013672,0.71201,7
