Frame #,# Obj,X,Y,Z,Doppler,Intensity
146,1,0,3.0205,-0.39258,-0.356,6
147,8,0,3.0127,-0.44922,0.356,7
147,8,0,3.0693,-0.19336,0.356,9
147,8,-0.19434,3.0869,-0.26563,0.356,9
147,8,-0.19629,3.0723,-0.58887,0.356,7
147,8,0,3.0039,-0.50293,-0.356,8
147,8,0,3.0283,-0.53711,-0.356,9
147,8,0,3.0498,-0.58105,-0.356,10
147,8,-0.097656,3.0859,-0.53809,-0.356,9
148,21,0,3.0752,0,0,5
148,21,-0.29102,3.0771,-0.2959,0,11
148,21,-0.29395,3.1055,-0.29883,0,15
148,21,-0.19727,3.1475,-0.24805,0,16
148,21,-0.39941,3.1514,-0.31934,0,11
148,21,-0.30176,3.1963,-0.27441,0,7
148,21,0,3.1338,0,0.356,9
148,21,0,3.1631,0,0.356,9
148,21,-0.099609,3.1865,-0.16602,0.356,8
148,21,0,3.0439,-0.61328,-0.71201,9
148,21,-0.19629,3.0625,-0.63574,-0.71201,13
148,21,-0.19727,3.123,-0.45996,-0.71201,13
148,21,-0.29883,3.1387,-0.50195,-0.71201,10
148,21,0,3.2168,-0.18457,-0.71201,5
148,21,0,3.0635,-0.27539,-0.356,11
148,21,-0.19434,3.0732,-0.3916,-0.356,23
148,21,-0.19629,3.1104,-0.32715,-0.356,34
148,21,-0.19727,3.1338,-0.37988,-0.356,36
148,21,-0.29883,3.1533,-0.39551,-0.356,27
148,21,-0.30176,3.1914,-0.31836,-0.356,15
148,21,-0.20313,3.2451,0.012695,-0.356,6
149,42,-0.18848,3.0049,-0.1875,0,6
149,42,-0.28516,3.0244,-0.22559,0,17
149,42,-0.28809,3.0566,-0.17383,0,31
149,42,-0.19434,3.0957,-0.13477,0,41
149,42,-0.29395,3.1162,-0.15625,0,37
149,42,-0.29688,3.1426,-0.20996,0,23
149,42,-0.29883,3.1758,-0.12695,0,9
149,42,0,3.043,0.1377,0.356,7
149,42,0,3.0664,0.24023,0.356,8
149,42,0,3.125,-0.49023,0.356,6
149,42,0.099609,3.1816,-0.2373,0.356,7
149,42,0,3.2217,0,0.356,4
149,42,-0.36621,2.7705,-0.87793,-2.136,6
149,42,-0.27734,2.8477,-0.75,-2.136,11
149,42,-0.28027,2.8984,-0.66504,-2.136,13
149,42,-0.37695,2.8965,-0.75391,-2.136,11
149,42,-0.28516,2.9785,-0.57129,-2.136,7
149,42,-0.27441,2.8389,-0.66504,-1.78,8
149,42,-0.37012,2.8564,-0.67285,-1.78,14
149,42,-0.18652,2.9189,-0.60645,-1.78,18
149,42,-0.2832,2.9424,-0.60059,-1.78,15
149,42,-0.38086,2.9531,-0.64063,-1.78,8
149,42,0,3.0205,-0.5752,-1.068,7
149,42,-0.19434,3.0498,-0.54785,-1.068,9
149,42,-0.19629,3.085,-0.51563,-1.068,7
149,42,0,3.3018,0.23047,-1.068,4
149,42,-0.41699,3.2764,0.49316,-1.068,5
149,42,-0.2832,2.9756,-0.40723,-0.71201,9
149,42,-0.28516,2.999,-0.4502,-0.71201,25
149,42,-0.19238,3.0371,-0.44531,-0.71201,46
149,42,-0.19434,3.0732,-0.39648,-0.71201,57
149,42,-0.19629,3.1035,-0.39063,-0.71201,52
149,42,-0.098633,3.1387,-0.37793,-0.71201,32
149,42,-0.099609,3.1768,-0.2959,-0.71201,14
149,42,-0.37695,2.9639,-0.41602,-0.356,10
149,42,-0.28516,3.0176,-0.29785,-0.356,32
149,42,-0.19238,3.0566,-0.27441,-0.356,63
149,42,-0.19434,3.0869,-0.27344,-0.356,84
149,42,-0.19629,3.1152,-0.2832,-0.356,80
149,42,-0.098633,3.1514,-0.25586,-0.356,54
149,42,-0.19922,3.1709,-0.30957,-0.356,25
149,42,0,3.21,-0.28125,-0.356,8
150,26,0,2.9551,-0.44043,0.356,7
150,26,0,3.001,-0.30859,0.356,12
150,26,0,3.04,-0.19531,0.356,16
150,26,0,3.0664,0.23047,0.356,14
150,26,0.19727,3.126,-0.43945,0.356,11
150,26,0.099609,3.1484,-0.52051,0.356,10
150,26,0.10059,3.2148,-0.18848,0.356,6
150,26,-0.34375,2.6855,-0.49707,-2.136,6
150,26,0,2.7607,-0.34961,-2.136,8
150,26,0,2.7744,-0.4541,-2.136,7
150,26,-0.30469,3.2363,-0.023438,-1.068,6
150,26,0,3.2793,-0.061523,-1.068,6
150,26,0,3.3066,0.14941,-1.068,5
150,26,-0.31348,3.3008,-0.39355,-1.068,4
