Frame #,# Obj,X,Y,Z,Doppler,Intensity
61,7,0,3.25,-0.079102,-0.71201,5
61,7,0.10254,3.2666,0.28516,-0.71201,6
61,7,0.10352,3.2627,0.5459,-0.71201,4
61,7,0,3.2217,0,-0.356,4
61,7,0,3.2158,0.47949,-0.356,5
61,7,0,3.2627,0.33594,-0.356,4
61,7,0,3.2041,0.82715,-0.356,3
62,20,0.098633,3.1553,0.19727,0,5
62,20,0,3.0996,0.46289,-1.78,5
62,20,0,3.1514,0.26855,-1.78,7
62,20,0,3.1826,0.24902,-1.78,6
62,20,0,3.1191,0.80566,-1.78,3
62,20,0,3.1309,-0.1416,-1.424,7
62,20,0,3.1514,0.26855,-1.424,9
62,20,0,3.1885,0.16797,-1.424,8
62,20,0,3.2168,0.18457,-1.424,5
62,20,0,3.1045,0,-1.068,7
62,20,0,3.1328,0.064453,-1.068,14
62,20,0,3.1631,0.058594,-1.068,16
62,20,0,3.1914,0.072266,-1.068,14
62,20,0,3.2168,0.18457,-1.068,7
62,20,0,3.1025,0.12305,-0.71201,7
62,20,0,3.1299,0.15625,-0.71201,13
62,20,0,3.1621,0.083008,-0.71201,17
62,20,0,3.1885,0.15625,-0.71201,14
62,20,0,3.2197,0.11621,-0.71201,8
62,20,-0.098633,3.1592,0.12598,0,5
63,4,0,3.1934,-0.6084,0.356,4
63,4,0.10254,3.2783,-0.00097656,0.356,4
63,4,0.10352,3.3057,-0.13184,0.356,3
63,4,0.30762,3.2598,-0.20508,0.356,4
65,2,0.10254,3.1611,-0.87109,-0.356,4
65,2,0.10352,3.3057,-0.13184,-0.356,4
66,16,0.20313,3.2188,-0.40625,0,4
66,16,0,3.2441,-0.48438,0,3
66,16,0,3.2158,-0.47949,0.356,3
66,16,0.20508,3.2012,-0.68848,0.356,4
66,16,0,3.2734,-0.48828,0.356,2
66,16,0,3.167,-0.40137,0.71201,4
66,16,0,3.1895,-0.4541,0.71201,6
66,16,0,3.2188,-0.45801,0.71201,6
66,16,0,3.2627,-0.33594,0.71201,5
66,16,0,3.292,-0.33887,0.71201,2
66,16,0,3.1758,-0.32715,1.068,5
66,16,0,3.2051,-0.33008,1.068,7
66,16,0,3.2188,-0.45801,1.068,6
66,16,0,3.2354,-0.54199,1.068,4
66,16,0,3.251,0,-0.356,3
66,16,2.1338,0,2.6416,0.356,2
67,4,0,3.1191,-0.80566,0.356,3
67,4,0,3.251,0,0.356,3
67,4,0,3.2627,-0.33594,0.356,2
67,4,-1.1172,1.5303,2.6416,0.356,2
114,2,0,3.2627,0.33594,-0.356,4
114,2,0,3.3096,0,-0.356,3
115,1,0,3.2627,-0.33594,-0.356,3
116,16,0,3.2217,0,-1.424,5
116,16,0,3.1631,0,-1.068,4
116,16,0,3.1885,-0.16797,-1.068,6
116,16,0,3.2207,0.084961,-1.068,6
116,16,0,3.2451,0.2041,-1.068,4
116,16,0,3.1631,0,-0.71201,7
116,16,0,3.1914,0.085938,-0.71201,10
116,16,0,3.2207,0.079102,-0.71201,10
116,16,0,3.2451,0.2041,-0.71201,7
116,16,0,3.2227,0.61426,-0.71201,4
116,16,0,3.1895,0.14453,-0.356,5
116,16,0.10059,3.2139,0.20117,-0.356,7
116,16,0,3.2344,0.33301,-0.356,6
116,16,0,3.2754,0.1875,-0.356,5
116,16,0,3.2998,0.25781,-0.356,4
116,16,0,3.3389,0,-0.356,2
120,8,0,3.1738,-0.55469,0.356,4
120,8,0,3.2061,-0.53711,0.356,4
120,8,0.20508,3.2637,-0.26172,0.356,5
120,8,0.20703,3.2441,-0.62207,0.356,4
120,8,0.099609,3.1074,-0.72461,-0.356,5
120,8,0.20117,3.1904,-0.40234,-0.356,6
120,8,0.30469,3.2109,-0.40723,-0.356,5
120,8,0,3.2227,-0.61426,-0.356,4
121,7,0,3.1865,-0.47559,0.356,3
121,7,0,3.2158,-0.47949,0.356,3
121,7,0.20117,3.168,-0.54785,0.71201,5
121,7,0,3.1973,-0.58691,0.71201,5
121,7,0,3.2627,-0.33594,0.71201,3
121,7,-1.2188,1.7715,2.4385,0.356,2
121,7,2.1523,0,-3.0752,0.71201,2
173,3,0,3.2217,0,-0.356,5
173,3,0.10156,3.249,0.056641,-0.356,5
173,3,0,3.2803,0,-0.356,3
174,21,0,3.1924,0,-2.136,5
174,21,0,3.2158,0.20215,-2.136,4
174,21,0,3.251,0,-2.136,2
174,21,0,3.1621,-0.077148,-1.78,6
174,21,0,3.1924,0,-1.78,7
174,21,0,3.2207,0.079102,-1.78,6
174,21,0,3.2344,0.33301,-1.78,4
174,21,0,3.1689,0.38672,-1.424,5
174,21,0.10059,3.2197,-0.049805,-1.424,5
174,21,0,3.1631,0,-1.068,7
174,21,0,3.1885,0.15918,-1.068,7
174,21,0,3.2188,-0.14551,-1.068,5
174,21,0,3.124,0.24414,-0.71201,9
174,21,0,3.1631,0.023438,-0.71201,13
174,21,0,3.1924,0,-0.71201,14
174,21,0,3.2217,0,-0.71201,10
174,21,0.10156,3.2432,0.20313,-0.71201,5
174,21,0,3.1318,0.12402,-0.356,5
174,21,0,3.1631,0.05957,-0.356,8
174,21,0,3.1924,-0.033203,-0.356,9
174,21,0,3.2197,0.11328,-0.356,6
175,4,0,3.1826,-0.24902,0.356,4
175,4,0.10059,3.209,-0.27441,0.356,5
175,4,0.10156,3.249,0.074219,0.356,4
175,4,0,3.2441,-0.48438,0.356,3
177,4,0.10059,3.1631,-0.60449,-0.356,3
177,4,0,3.251,0,-0.356,2
177,4,-1.1074,1.5166,2.6182,-0.356,2
177,4,-1.1172,0.17578,-3.0479,-0.356,2
178,2,0,3.248,-0.12891,-0.356,4
178,2,0.20508,3.2734,-0.074219,-0.356,4
179,16,0.10156,3.1914,-0.60938,0,4
179,16,0,3.2627,-0.33594,0,4
179,16,0,3.1826,-0.24902,0.356,5
179,16,0,3.21,-0.27344,0.356,7
179,16,0,3.2334,-0.33984,0.356,9
179,16,0,3.2627,-0.33594,0.356,8
179,16,0,3.292,-0.33887,0.356,4
179,16,0.10059,3.209,-0.27441,0.71201,7
179,16,0.10156,3.2471,-0.12988,0.71201,9
179,16,0,3.2715,-0.24316,0.71201,8
179,16,0.10352,3.3057,-0.13184,0.71201,5
179,16,0,3.3027,-0.49316,0.71201,2
179,16,0,3.2051,-0.33008,1.068,3
179,16,0,3.248,-0.12891,1.068,4
